id,temp_treatment,time,species,date,day,note,pot,proteomics,mdwp,amax,amax_tleaf,photo,gs,tleaf,vpdl,cica,FvFm,qP,phips2,ETR,LMA_g_m2,gs_mass,NAME,abiotic_stress,PSII,PSI,Photosystems,Light_reactions,Photorespiration,Calvin_cycle,Rubisco,Cytochrome_b6f,CHO_metabolism,glycolysis,TCA/_org_transformation,mitochondrial_electron_transport/ATP_synthesis,lipid_metabolism,secondary_metabolism,hormone_metabolism,redox,polyamine_metabolism,signalling,protein_folding,HSPs,protein,DNA,RNA,stress,ATP_synthase_chloroplastic,D1,D2,Rubisco_activase,log10gs
acam-11,home,pre_heatwave,euccam,28/01/2015,1,pre-heatwave,11,yes,7.75,26.32201012,23.04457092,21.03469983,0.962928289,22.83516502,0.983324807,0.890645517,0.566709632,0.238941517,0.135410459,106.2608868,50.02045827,0.019250689,X1acam11..1acam11_151216.wiff..sample.1..,201.9409088,1380.484493,553.3605022,1933.844995,2694.047118,234.905428,3027.479838,1832.436239,63.96703731,180.8632109,77.43763287,84.51398624,70.21663671,43.31776855,54.13093001,19.58996048,192.7410451,1.133527285,56.88343214,53.99748062,134.8508603,743.0208155,77.62749141,103.6384246,207.0502928,607.9096309,54.33190777,133.3624235,192.6741308,-0.0164060543616818
acam-25,warm,pre_heatwave,euccam,28/01/2015,1,pre-heatwave,25,yes,5.93,29.16756278,24.92552299,20.27445639,0.535177879,24.21315193,1.138326911,0.826008859,0.509629364,0.293218482,0.149432748,117.3235642,56.58557497,0.00945785,X1acam25..1acam25_151218.wiff..sample.1..,147.7723213,1511.808142,638.1181468,2149.926289,2797.535451,219.5744032,2554.24692,1450.579433,72.20655058,178.5917097,64.79426068,66.93188761,63.20443685,43.47274616,84.40876256,19.24607842,197.1270783,0.596270918,45.17744269,44.55741284,97.91664191,557.2272596,51.53839629,86.1596959,151.4746253,487.9065209,72.63901543,121.5481553,139.9952825,-0.271501845962915
acam-27,warm,pre_heatwave,euccam,28/01/2015,1,pre-heatwave,27,yes,8.68,24.24006693,23.87102286,18.44110851,0.966866995,23.33223534,0.836278362,0.904725332,0.502329525,0.24689404,0.124022166,97.50734728,57.16760502,0.016912848,X1acam27..1acam27_151218.wiff..sample.1..,192.5291288,1559.830423,700.3071011,2260.137524,3236.206677,240.0605215,2643.570257,1485.66142,69.93191089,190.3220652,79.25235469,85.39013173,75.8487957,60.69047663,83.86442338,19.86160035,228.9711082,0.585873867,53.25062575,54.5081464,123.6324115,676.0701708,73.03399354,106.7486441,197.4159422,836.265984,82.5004007,127.3058905,169.6891987,-0.0146332646041014
acam-28,warm,pre_heatwave,euccam,28/01/2015,1,pre-heatwave,28,yes,7.74,21.29928905,22.97052447,20.39283571,0.864200726,23.20866203,0.7705086,0.887146367,0.404678632,0.287134986,0.116197393,91.35693512,59.09457436,0.014624028,X1acam28..1acam28_151216.wiff..sample.1..,172.9101691,1633.094222,639.8005056,2272.894727,3130.024461,251.564079,2867.624885,1646.858791,69.20270603,181.2879618,75.2228942,73.84650833,65.06302653,52.8774398,72.68803496,17.02088636,211.5362368,0.665893085,49.14081061,50.94907313,121.4689252,618.2082289,57.69072947,84.95936731,176.8171759,694.4309356,79.48881857,147.1033752,175.1444902,-0.0633853731813943
acam-7,home,pre_heatwave,euccam,28/01/2015,1,pre-heatwave,7,yes,7.88,26.24360544,23.66514664,22.06945643,0.75916497,23.56819344,0.883441711,0.863013658,0.494636914,0.275912037,0.136476279,107.186697,63.66673217,0.011924045,X1acam7..1acam7_151218.wiff..sample.1..,181.8473277,1423.438772,666.4015541,2089.840326,3024.776826,261.6356183,3146.770011,2045.16425,82.50954376,191.714333,86.37943173,91.53739886,75.21682444,37.41185889,71.63250818,20.32861877,210.8113409,1.359091253,54.72620399,53.41864745,132.6153098,729.4452333,37.68176091,101.1982837,186.7548559,750.5678086,56.69952678,87.05596752,137.4563013,-0.119663839683357
acam-8,home,pre_heatwave,euccam,28/01/2015,1,pre-heatwave,8,yes,7.11,34.56730207,25.92944527,24.04412071,0.570745394,25.49861526,1.309617944,0.804219494,0.471766849,0.349418144,0.164843897,129.5002744,73.03102625,0.007815108,X1acam8..1acam8_151218.wiff..sample.1..,246.2241488,1649.627243,775.273186,2424.900429,3759.057938,339.1916134,4550.045676,2935.073376,91.82553239,245.7549154,124.9935757,118.1684067,86.02919649,57.91092139,83.51466373,28.89847593,312.3316178,1.261239699,68.18127677,84.58505195,178.9132766,1025.709907,59.62960129,145.1151803,251.6638503,1110.933489,77.05375053,120.036217,288.035242,-0.243557584644482
bot-2,home,pre_heatwave,eucbot,28/01/2015,1,pre-heatwave,2,yes,10.42,21.43004134,25.19508324,11.76605386,0.201877022,25.17111778,1.72683356,0.742414797,0.398945703,0.248156972,0.099001157,77.84968322,55.85913783,0.003614038,X1bot2..1bot2_151216.wiff..sample.1..,181.0177346,1239.656797,567.8082201,1807.465018,2480.76728,225.733456,3001.874751,1859.690568,85.76826646,163.7231695,72.20116843,86.98366838,71.45127925,51.08318104,83.50302819,31.82472787,203.4407206,0.420712511,49.84962359,54.43255012,125.7823245,666.6911653,58.211919,94.29142343,186.2966006,501.3398015,43.48491678,101.7610558,229.0789027,-0.69491311041005
bot-24,warm,pre_heatwave,eucbot,28/01/2015,1,pre-heatwave,24,yes,7.39,15.17154835,24.59741354,13.5496946,0.536202868,23.33133888,1.063101105,0.879894168,0.385821241,0.222696153,0.085920906,67.41089062,63.01670322,0.008508901,X1bot24..1bot24_151214.wiff..sample.1..,141.0449229,929.513099,362.4715333,1291.984632,1696.197177,147.5083276,2164.615264,1362.392222,37.30464678,127.9444519,56.57178907,66.83601157,57.02839644,60.84058671,89.38965876,15.57606821,157.3458482,0.98888957,38.92903928,39.56146613,96.75988451,498.9499871,53.60496131,69.9521196,145.4906683,317.8702134,31.3371152,81.24631546,142.2122732,-0.270670867426539
bot-27,warm,pre_heatwave,eucbot,28/01/2015,1,pre-heatwave,27,yes,6.94,22.77981828,26.51846848,12.37739359,0.416994725,25.63150406,1.428532158,0.857561468,0.402995661,0.184946536,0.074532652,58.51790768,68.60158311,0.0060785,X1bot27..1bot27_151216.wiff..sample.1..,135.7731633,1139.412281,465.4244409,1604.836722,2155.989921,166.5106666,2170.073654,1257.300779,49.42025411,141.576631,53.54689858,67.50607113,61.90276103,29.59887553,73.10670669,28.59322413,160.3916763,0.686217712,37.26216698,38.47054288,84.81268619,465.476665,50.85184101,66.79680527,139.1941304,438.5085293,43.24838358,105.8149262,109.4253174,-0.379869438834113
bot-30,warm,pre_heatwave,eucbot,28/01/2015,1,pre-heatwave,30,yes,6.8,19.66433682,27.54134674,10.30981481,0.302258282,27.30550957,1.714583319,0.835337377,0.353371634,0.192841808,0.068144825,53.49636727,67.20933583,0.004497266,X1bot30..1bot30_151218.wiff..sample.1..,113.2475772,635.4838805,315.0118948,950.4957753,1235.692355,103.5576767,1279.763255,783.5392242,26.26999624,101.0010216,41.56645552,46.1425997,42.37834579,29.06680176,56.09556096,18.62484081,106.6236431,0.500065401,27.35589866,30.74109943,80.04399864,353.792852,34.62504425,47.60629367,115.9259594,218.8039494,27.45339501,36.1093608,69.69468907,-0.519621790458518
