batch_number,extraction_number,sample_number,Extraction_repeated,Tech_rep_lost,species_field,species_confirmed,Latitude,Longitude,Elevation_GPS_notebook,Elevation_map,family,leaf_age,biological_rep,GoPro file,site,site_revised,date,whole_leaf_FW,tech_rep_1_FW,tech_rep_2_FW,tech_rep_3_FW,tech_rep_4_FW_fixed,tech_rep_4_DW_fixed,whole_leaf_area(cm2),whole_leaf_area_per_whole_leaf_FW(cm2/g),tech_rep_1_leaf_area,tech_rep_2_leaf_area,tech_rep_3_leaf_area,tech_rep_4_leaf_area,technical_rep_used_for_ovalbumin_calculation,ovalbumin_added(5uL_of_0.5mg/mL_per_cm2),random_number,notes 1,notes 2,I don't know why these numbers are here,Solvent Wash Date,Solvent Wash Page Ref,Phenol Extraction Date,Phenol Extraction Page Ref,Resuspension and Alkylation Date,Resuspension and Alkylation Page Ref,Lavapep Date,Lavapep Page Ref,Lavapep File Name,Extraction Notes,"Protein Extract Concentration (protein assay, ug/uL)",Protein Assay %CV,Protein Extract Volume (uL),"Extract Protein Amount (ug, protein assay)","Protein per FW (mg/g, protein assay)","Protein per DW (mg/g, protein assay)","Protein per Leaf Area (mg/cm2, protein assay)",%Ovalbumin of Total Protein,"Digest Protein Amount (ug)
",Amount Protease in Digest (ug),uL Protein Extract per Digest,Date of ASPEX,ASPEX Batch,tech_rep_4_FW_ERROR,tech_rep_4_DW_ERROR,LMA (g/m2),SLA (cm2/g),LWC (%),leaf_FW_check
,,T408,0,,eucten,eucten,-43.04191,147.95053,,,Myrtaceae,sen,3,273,Tasmania_TP,TAS_Tasman_Peninsula,150312,0.22598,0.05412,0.05896,0.05782,0.05434,0.05172,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05434,0.10402,#DIV/0!,0,4.821494295,0.00074
,,T400,0,,eucten,eucten,-43.04191,147.95053,,,Myrtaceae,sen,1,271,Tasmania_TP,TAS_Tasman_Peninsula,150312,0.37084,0.06098,0.06138,0.08528,0.16288,0.15416,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16288,0.12784,#DIV/0!,0,5.353634578,0.00032
,,RH109,0,,grestr,grestr,-31.29606,142.27874,,,Proteaceae,sen,2,none,Round_Hill,NSW_Mutawintji,150410,0.37266,0.07836,0.06774,0.06812,0.15804,0.14790,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15804,0.13116,#DIV/0!,0,6.416097191,0.00040
,,T342,0,,eucglo,eucglo,-42.12299,148.34204,,,Myrtaceae,sen,3,260,Tasmania_FY,TAS_Freycinet,150311,0.94356,0.07458,0.05708,0.07648,0.73386,0.68654,,0,0,0,0,0,1,0.0,,,The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook),,,,,,,,,,,,,,,,,,,,,,,,,0.73386,0.50796,#DIV/0!,0,6.448096367,0.00156
,,T396,0,,acalon,acalon,-42.84732,147.43592,,,Fabaceae,sen,3,298,Tasmania_MC,TAS_Mt_Canopus,150312,0.82726,0.06708,0.08272,0.08488,0.59214,0.55372,,0,0,0,0,0,1,0.0,,,Top of sky pic is East instead of North.,,,,,,,,,,,,,,,,,,,,,,,,,0.59214,0.3398,#DIV/0!,0,6.488330462,0.00044
,,QL101,0,,grepar,grepar,-18.43758,146.13636,,,Proteaceae,sen,2,361,S_Cardwell_QLD,QLD_Cardwell_S,150809,0.34974,0.06648,0.05222,0.05058,0.18046,0.16786,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18046,0.16786,#DIV/0!,0,6.982156711,0.00000
,,T338,0,,eucglo,eucglo,-42.12299,148.34204,,,Myrtaceae,sen,2,259,Tasmania_FY,TAS_Freycinet,150311,0.88404,0.06704,0.08860,0.08270,0.64316,0.59712,,0,0,0,0,0,1,0.0,,,The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook),,,,,,,,,,,,,,,,,,,,,,,,,0.64316,0.53736,#DIV/0!,0,7.158405373,0.00254
,,QL097,0,,grepar,grepar,-18.43758,146.13636,,,Proteaceae,sen,1,360,S_Cardwell_QLD,QLD_Cardwell_S,150809,0.24138,0.07518,0.05834,0.06286,0.04576,0.04234,,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04576,0.04234,#DIV/0!,0,7.473776224,-0.00076
21,21-40,QL085,0,,grepte,grepte,-18.43758,146.13636,,,Proteaceae,sen,1,363,S_Cardwell_QLD,QLD_Cardwell_S,150809,0.29800,0.07178,0.07148,0.05506,0.09984,0.09232,11.719,39.32550336,2.822784631,2.81098698,2.165262215,3.926258255,1,14.1,,,,,,,,,,,,,,,1.5,1.967967773,750,1141.963794,,,,,50,1,32.8,,,0.09984,0.09232,235.1348129,42.52879392,7.532051282,-0.00016
,,YG073,0,,eucpun,eucpun,-32.78244,150.92318,,,Myrtaceae,sen,2,116,Yengo_N,NSW_Yengo_N,140525,0.48378,0.04534,0.05164,0.06200,0.32490,0.30014,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32490,0.2558,#DIV/0!,0,7.620806402,-0.00010
