ID,litter_N,litter_C
,2.7684,46.021
eucnit_67,0.998,49.223
conhoo_42,0.51253,28.347
banmar_37,1.1063,36.496
eucten_76,1.2381,42.156
cennit_41,0.94796,52.443
acamuc_23,1.1447,52.205
teltru_118,0.86669,38.615
banaqu_35,0.83543,51.636
acafal_10,1.1219,33.424
perlan_113,0.60364,27.439
acacel_4,1.265,33.926
acacra_6,0.85218,35.808
grestr_95,1.1014,46.166
greane_79,0.81644,38.037
grepte_90,0.49017,55.233
acaosw_24,1.38,42.442
euccam_55,0.6819,20.797
,2.7478,45.989
grestr_94,0.80259,31.322
perlin_115,0.59253,30.695
acafla_11,0.91049,30.787
grespe_93,0.53934,41.792
haktep_103,1.0642,46.481
gregla_82,0.66816,45.075
acaosw_24,1.0792,43.721
acalon_18,0.73659,51.701
corpoc_49,0.66216,50.904
athdiv_34,1.3201,38.27
gremuc_87,0.69501,24.859
eucter_78,0.70807,38.386
corter_50,0.51999,49.756
acabin_3,1.323,38.155
eucfib_61,1.2396,43.907
,2.7699,46.041
corgum_46,0.69677,52.753
grebai_80,0.90193,31.252
eucmed_65,0.61819,37.614
gregla_82,0.46672,33.387
eucatr_54,0.79789,38.66
cortes_51,1.2029,43.095
acahol_14,0.66355,26.929
hakleu_100,1.2348,39.873
perlev_114,0.8105,47.166
angcos_32,0.87504,48.411
gremim_86,0.78388,42.06
eucobl_68,0.7364,49.497
haklae_99,0.53324,46.479
,2.7923,45.828
corcit_43,0.47493,30.356
acaane_2,1.803,39.623
eucdum_60,1.2097,43.496
greill_85,0.60052,26.142
grebux_81,0.5981,32.93
eucspa_75,0.88452,35.095
angcos_33,0.59996,29.436
opihet_107,1.8378,45.744
perfal_111,0.83877,41.828
corexi_45,0.88454,46.696
corint_48,0.94108,22.385
eucgil_62,0.99603,33.043
eucpla_69,1.183,31.386
acacol_5,1.0593,36.903
eucsoc_74,0.65821,29.259
,2.7699,45.713
acajul_17,0.93329,37.258
acaman_20,1.3087,41.184
acaimp_16,1.2277,37.26
carsub_40,1.391,45.175
corcla_44,0.97736,38.108
acahem_13,1.0517,36.051
eucpru_70,0.90485,51.993
grehil_84,1.2666,43.109
xylsco_120,0.62496,33.374
hakcho_97,0.51681,41.065
hakdac_98,0.56752,29.926
eucdis_59,1.2528,48.593
darfer_52,1.4197,50.098
hakarb_96,0.88688,44.504
grepar_88,0.94817,48.825
eucpun_71,0.92624,29.533
acacol_5,1.3287,54.895
grepte_90,0.90156,51.328
