ID,litter_P,litter_S
acacra_6,0,147.815
greane_79,0,102.989
gremuc_87,169.148,0
haktep_103,148.518,951.504
gregla_82,0,0
eucsoc_74,23.281,0
grebai_80,0,0
acaosw_24,245.47,1546.505
grestr_94,159.449,844.128
eucpla_69,111.126,0
corcit_43,0,0
eucatr_54,661.601,0
acaosw_24,423.065,469.537
corgum_46,0,178.538
athdiv_34,732.44,383.42
banaqu_35,0,162.007
eucfib_61,116.228,346.197
acafla_11,52.174,46.067
eucgil_62,155.241,217.072
acaane_2,319.271,586.936
perfal_111,0,0
acacol_5,0,0
grebux_81,0,34.594
perlev_114,0,15.966
angcos_33,0,0
corter_50,0,0
grepte_90,0,0
eucter_78,433.801,0
gregla_82,5.42,0
acahol_14,0,0
grespe_93,0,0
corpoc_49,62.745,0
perlan_113,0,0
acacel_4,509.672,589.917
corexi_45,85.925,244.05
eucspa_75,181.45,86.264
eucdum_60,324.801,343.174
eucmed_65,46.585,0
haklae_99,0,19.236
hakdac_98,33.001,0
carsub_40,823.48,557.776
hakcho_97,0,190.444
eucpru_70,0,0
grehil_84,61.878,575.354
eucpun_71,143.734,0
acahem_13,61.293,0
acashi_27,0,127.292
acajul_17,148.593,0
eucobl_68,0,224.035
greill_85,29.251,0
corcla_44,0,363.536
hakarb_96,0,356.474
grepar_88,0,185.836
gremim_86,0,0
eucdis_59,261.429,120.128
grepte_90,51.13,0
xylsco_120,0,0
acaimp_16,184.663,45.93
grestr_94,501.594,332.849
angcos_32,96.65,0
euccam_55,203.009,0
cortes_51,282.843,616.364
acafal_10,234.21,49.289
hakleu_100,215.113,947.991
corint_48,51.402,0
darfer_52,548.881,709.039
acaman_20,33.22,309.187
opihet_107,694.85,752.165
eucten_76,385.848,349.195
cennit_41,160.455,297.308
conhoo_42,45.82,102.071
eucnit_67,25.345,351.633
banmar_37,365.469,243.899
acamuc_23,236.916,297.576
teltru_118,0,0
acalon_18,0,257.347
perlin_115,125.906,0
acabin_3,160.618,410.904
