sample,P ,S ,Unit
QL086*                                      ,293.528,200.839,ppm 
YG078                                       ,0,15.262,ppm 
QL248                                       ,565.245,56.946,ppm 
QL315                                       ,455.217,346.279,ppm 
QL054                                       ,878.035,4030.558,ppm 
QL110                                       ,583.691,848.647,ppm 
QL074                                       ,1011.55,1643.329,ppm 
QL195                                       ,483.048,1738.766,ppm 
RH110*                                      ,357.919,1.969,ppm 
T237                                        ,266.755,242.802,ppm 
QL122                                       ,441.053,1342.461,ppm 
QL374*                                      ,245.217,976.133,ppm 
QL114                                       ,1297.47,1036.811,ppm 
YG077                                       ,302.848,615.009,ppm 
YG137                                       ,663.246,227.862,ppm 
KG144                                       ,0,81.663,ppm 
QL214                                       ,359.04,0,ppm 
QL426                                       ,108.602,279.594,ppm 
QL243                                       ,3806.622,0,ppm 
QL240                                       ,1759.372,191.994,ppm 
T189                                        ,198.188,0,ppm 
T103                                        ,62.186,0,ppm 
QL318                                       ,311.364,317.833,ppm 
T290                                        ,360.896,216.465,ppm 
T169                                        ,406.05,45.271,ppm 
YG129                                       ,882.814,492.544,ppm 
YG117                                       ,1308.631,1977.06,ppm 
QL310                                       ,438.409,32.438,ppm 
QL406                                       ,316.432,53.456,ppm 
QL304                                       ,633.344,244.29,ppm 
QL325                                       ,450.716,261.233,ppm 
T111                                        ,197.277,14.944,ppm 
QL307                                       ,440.665,159.337,ppm 
QL321                                       ,428.036,525.623,ppm 
QL237                                       ,4411.014,267.453,ppm 
T045                                        ,627.254,0,ppm 
YG204                                       ,419.733,522.041,ppm 
QL397                                       ,153.215,12.64,ppm 
RH047                                       ,0,269.352,ppm 
QL106                                       ,765.642,745.648,ppm 
QL260                                       ,749.564,637.403,ppm 
QL042                                       ,584.093,900.547,ppm 
QL252                                       ,300.993,229.163,ppm 
T193                                        ,740.862,379.948,ppm 
QL460                                       ,104.22,357.058,ppm 
QL394                                       ,309.42,529.2,ppm 
QL362                                       ,0,4446.644,ppm 
TO91                                        ,674.861,0,ppm 
QL066                                       ,411.275,797.355,ppm 
T311                                        ,0,79.594,ppm 
YG158                                       ,1134.481,4382.15,ppm 
T201                                        ,559.494,391.029,ppm 
RG043                                       ,599.775,1522.575,ppm 
QL102                                       ,228.043,193.825,ppm 
QL030                                       ,1062.927,2085.884,ppm 
QL366                                       ,26.489,5408.223,ppm 
KG012                                       ,0,415.343,ppm 
T233                                        ,253.654,503.157,ppm 
T352                                        ,149.87,0,ppm 
QL343                                       ,73.836,0,ppm 
YG090                                       ,1322.434,3576.659,ppm 
QL211                                       ,523.559,0,ppm 
QL297                                       ,800.064,58.165,ppm 
QL434                                       ,97.394,451.313,ppm 
QL180                                       ,49.372,131.933,ppm 
QL126                                       ,530.526,2848.422,ppm 
QL038                                       ,544.261,694.587,ppm 
QL050                                       ,1321.164,4923.558,ppm 
QL463                                       ,0,3050.589,ppm 
KG110                                       ,114.353,951.368,ppm 
KG031                                       ,154.818,788.532,ppm 
