sample,leaf_age
YG014,mid
YG013,new
YG015,old
YG012,sen
RH086,mid
RH090,mid
RH094,mid
RH085,new
RH089,new
RH093,new
RH087,old
RH091,old
RH095,old
RH084,sen
RH088,sen
RH092,sen
KG031,mid
KG042,mid
KG090,mid
KG032,new
KG043,new
KG091,new
KG030,old
KG041,old
KG089,old
KG029,sen
KG040,sen
KG088,sen
KG015,mid
KG046,mid
KG070,mid
KG016,new
KG047,new
KG071,new
KG014,old
KG045,old
KG069,old
KG013,sen
KG044,sen
KG068,sen
KG004,mid
KG007,mid
KG034,mid
KG005,new
KG008,new
KG035,new
KG003,old
KG006,old
KG033,old
KG001,sen
RH040,mid
RH035,mid
RH038,mid
RH031,new
RH034,new
RH037,new
RH041,old
RH036,old
RH039,old
RH014,mid
RH017,mid
RH020,mid
RH013,new
RH016,new
RH019,new
RH015,old
RH018,old
RH021,old
YG089,mid
YG104,mid
YG140,mid
YG157,mid
YG090,new
YG105,new
YG141,new
YG158,new
YG088,old
YG103,old
YG139,old
YG156,old
YG087,sen
YG102,sen
YG138,sen
YG155,sen
YG093,mid
YG108,mid
YG146,mid
YG161,mid
YG094,new
YG107,new
YG147,new
YG162,new
YG092,old
YG109,old
YG143,old
YG145,old
YG160,old
YG091,sen
YG106,sen
YG142,sen
YG144,sen
YG159,sen
YG033,mid
YG097,mid
YG116,mid
YG150,mid
YG153,mid
YG035,new
YG098,new
YG117,new
YG151,new
YG154,new
YG034,old
YG096,old
YG115,old
YG149,old
YG152,old
YG032,sen
YG095,sen
YG114,sen
YG148,sen
YG010,mid
YG064,mid
YG101,mid
YG009,new
YG063,new
YG100,new
YG011,old
YG062,old
YG099,old
QL047,mid
QL051,mid
QL055,mid
QL046,new
QL050,new
QL054,new
QL048,old
QL052,old
QL056,old
QL049,sen
QL053,sen
QL057,sen
QL209,mid
QL212,mid
QL215,mid
QL208,new
QL211,new
QL214,new
QL210,old
QL213,old
QL216,old
QL217,sen
QL218,sen
QL219,sen
QL119,mid
QL123,mid
QL127,mid
QL118,new
QL122,new
QL126,new
QL120,old
QL124,old
QL128,old
QL121,sen
QL125,sen
QL129,sen
QL389,mid
QL392,mid
QL395,mid
QL388,new
QL391,new
QL394,new
QL390,old
QL393,old
QL396,old
QL382,sen
QL383,sen
QL384,sen
QL371,mid
QL375,mid
QL379,mid
QL370,new
QL374,new
QL378,new
QL372,old
QL376,old
QL380,old
QL373,sen
QL377,sen
QL381,sen
QL419,mid
QL423,mid
QL427,mid
QL418,new
QL422,new
QL426,new
QL420,old
QL424,old
QL428,old
QL421,sen
QL425,sen
QL429,sen
QL188,mid
QL192,mid
QL196,mid
QL187,new
QL191,new
QL195,new
QL189,old
QL193,old
QL197,old
QL190,sen
QL194,sen
QL198,sen
QL071,mid
QL075,mid
QL079,mid
QL070,new
QL074,new
QL078,new
QL072,old
QL076,old
QL080,old
QL073,sen
QL077,sen
QL081,sen
QL257,mid
QL261,mid
QL265,mid
QL256,new
QL260,new
QL264,new
QL258,old
QL262,old
QL266,old
QL259,sen
QL263,sen
QL267,sen
T254,mid
T257,mid
T260,mid
T253,new
T256,new
T259,new
T255,old
T258,old
T261,old
T287,mid
T291,mid
T295,mid
T286,new
T290,new
T294,new
T288,old
T292,old
T296,old
T289,sen
T293,sen
T297,sen
T299,mid
T302,mid
T305,mid
T298,new
T301,new
T304,new
T300,old
T303,old
T306,old
T128,mid
T131,mid
T134,mid
T127,new
T130,new
T133,new
T129,old
T132,old
T135,old
T137,mid
T140,mid
T143,mid
T136,new
T139,new
T142,new
T138,old
T141,old
T144,old
T344,mid
T347,mid
T350,mid
T343,new
T346,new
T349,new
T345,old
T348,old
T351,old
T385,mid
T390,mid
T394,mid
T384,new
T389,new
T393,new
T386,old
T391,old
T395,old
T387,sen
T392,sen
T396,sen
T363,mid
T367,mid
T370,mid
T362,new
T366,new
T369,new
T364,old
T368,old
T371,old
T365,sen
T062,mid
T065,mid
T068,mid
T061,new
T064,new
T067,new
T063,old
T066,old
T069,old
T083,mid
T086,mid
T089,mid
T082,new
T085,new
T088,new
T084,old
T087,old
T090,old
RH097,mid
RH100,mid
RH103,mid
RH096,new
RH099,new
RH102,new
RH098,old
RH101,old
RH104,old
KG102,mid
KG122,mid
KG134,mid
KG103,new
KG123,new
KG135,new
KG101,old
KG121,old
KG133,old
KG100,sen
KG120,sen
KG132,sen
KG142,mid
KG143,new
KG141,old
KG140,sen
KG106,mid
KG118,mid
KG138,mid
KG107,new
KG119,new
KG139,new
KG105,old
KG117,old
KG137,old
KG104,sen
KG116,sen
KG136,sen
KG144,sen
KG037,mid
KG078,mid
KG038,new
KG079,new
KG036,old
KG077,old
KG039,sen
KG076,sen
KG023,mid
KG050,mid
KG082,mid
KG024,new
KG051,new
KG083,new
KG022,old
KG049,old
KG081,old
KG021,sen
KG048,sen
KG080,sen
RH118,mid
RH121,mid
RH124,mid
RH117,new
RH120,new
RH123,new
RH119,old
RH122,old
RH125,old
RH002,mid
RH006,mid
RH010,mid
RH001,new
RH005,new
RH009,new
RH003,old
RH007,old
RH011,old
RH004,sen
RH008,sen
RH012,sen
RH056,mid
RH060,mid
RH064,mid
RH055,new
RH059,new
RH063,new
