licor_number,file_name,licor_date,licor_remarks,sample,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa
MQ2,MQ2/svs140607_.xls,140607,acabin mid,YG104,5206,0,17.5826161,0.049259891,1148.297204,0.701290114,1.38815009,25.85738373,6,1.42,0.5,2.556,26.26195335,25.85738373,27.00166512,1800.214478,1762.517578,18.53620911,19.91303635,53.17827988,57.12824249,299.5257263,1499.779785,0.105121635,98.31436157,-14.46455956,0.186717421,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499209544,0.00070129,299.0073837,299.4119534,239.9647596,2.528855771,3.345887546,34.03254105,14.1195047,26.05966854,3.386190602,0.048328492,1.957737456,1.428453146,0.030287629,112.8941065,0.651509646,58.16787797,1753.230985,0.005833478
MQ2,MQ2/svs140607_.xls,140607,acabin mid,YG104,5799,0,5.172544035,0.051586783,220.7657095,0.511431246,0.968453585,24.22797585,6,1.42,0.5,2.556,23.89203835,24.22797585,24.07323265,399.6475525,388.8870544,20.03137398,21.0343647,66.17754364,69.49111176,299.5084229,1364.779297,0.036040567,98.30493927,3.551992416,0.196185499,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499180705,0.000511431,297.3779759,297.0420384,218.3646821,2.277147085,3.036235529,30.88588988,9.851525184,24.0600071,3.005787262,0.050566224,2.067781944,0.938005318,0.031694023,21.70235967,0.567685931,67.90120742,386.1550769,0.009095361
MQ2,MQ2/svs140608_.xls,140608,acabin mid,YG140,13191.5,0,19.71975406,0.091006693,1379.095242,1.129798634,1.231078175,24.77301598,6,1.42,0.5,2.556,25.95609093,24.77301598,27.0052433,1801.148193,1768.574707,17.73073196,19.39239502,51.77596283,56.62822723,400.0410767,1499.997803,0.112123854,98.2768631,-12.94025803,0.199168414,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666735128,0.001129799,297.923016,299.1060909,239.9996425,2.414436007,3.136901926,31.91902781,12.52663279,25.36455346,3.249445612,0.087877793,1.905823751,1.343621862,0.055196416,135.5331543,0.77977777,61.10640768,1758.159344,0.006853778
MQ2,MQ2/svs140608_.xls,140608,acabin mid,YG140,13298,0,5.255966958,0.067781103,256.6373793,0.893631735,1.296607119,24.67430878,6,1.42,0.5,2.556,25.89126396,24.67430878,26.99895668,398.9111633,390.504303,17.22260284,18.53811646,50.48508835,54.34128952,400.0257263,1498.956177,0.261288673,98.27593231,3.286090851,0.204089373,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666709544,0.000893632,297.8243088,299.041264,239.8329823,2.540693592,3.118457797,31.73165315,13.19353669,25.28278637,3.233681802,0.066030089,1.821850678,1.411831123,0.041422631,25.22127772,0.657194754,58.45131812,387.7282641,0.007923544
MQ2,MQ2/svs140609_.xls,140609,acabin mid,YG157,6068,0,33.56522934,0.303011245,1541.587284,2.512796309,0.888266518,24.403759,6,1.42,0.5,2.556,25.23337555,24.403759,26.02262878,1798.946655,1760.947266,19.70126724,22.15898132,60.11804199,67.6177063,599.8538208,1501.361328,0.045049898,98.38549042,-13.5621624,0.162108004,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.999756368,0.002512796,297.553759,298.3833756,240.2178065,1.646434892,3.068388762,31.18741137,9.028430047,24.81856728,3.145445605,0.27089671,2.180122244,0.965323361,0.171929845,151.669821,0.875430692,73.40994648,1743.219152,0.014134893
MQ2,MQ2/svs140609_.xls,140609,acabin mid,YG157,6212.5,0,17.48207871,0.345811924,287.5280411,2.912936613,0.915889443,24.3787632,6,1.42,0.5,2.556,25.20721436,24.3787632,26.03070259,398.7610168,382.8249512,19.39139938,21.83301353,59.26076126,66.72241211,700.1937866,1500.482178,0.093105614,98.37895966,2.816896439,0.18957001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.166989644,0.002912937,297.5287632,298.3572144,240.0771425,1.435403957,3.063798601,31.14282374,9.309810211,24.79298878,3.140645558,0.304601159,2.147909157,0.992736401,0.193693862,28.28670956,0.751069229,72.95212922,373.5914589,0.034137688
MQ2,MQ2/svs140607_.xls,140607,acabin new,YG105,4857.5,0,31.84191751,0.088866883,1146.918615,0.826382699,0.920900716,24.45378304,6,1.42,0.5,2.556,25.73653793,24.45378304,27.00008392,1799.54541,1759.547852,20.96432304,21.93525887,62.04763794,64.92129517,499.4701538,1499.51123,0.247274339,98.32080841,-16.23793602,0.148127943,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832450256,0.000826383,297.603783,298.8865379,239.9217908,2.58627522,3.0775931,31.3015439,9.366285027,25.09516049,3.197761895,0.085880977,2.156692385,1.04106951,0.05393612,112.7659654,0.65182576,70.29185673,1742.729938,0.012843226
MQ2,MQ2/svs140607_.xls,140607,acabin new,YG105,4997.5,0,9.926220929,0.067036824,140.2856841,0.748679146,1.096308349,25.1680069,6,1.42,0.5,2.556,25.98568153,25.1680069,26.99923897,399.6113892,387.3399048,20.63544846,21.51539612,60.17804337,62.74419403,499.5099487,1499.542358,0.125142261,98.31833649,2.644571304,0.174411207,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832516581,0.000748679,298.3180069,299.1356815,239.9267713,2.561973917,3.211666304,32.66599516,11.15059904,25.57684422,3.29068683,0.065323567,2.115357955,1.175328875,0.040977774,13.7926551,0.362177205,65.81099897,382.0971825,0.017096554
MQ2,MQ2/svs140608_.xls,140608,acabin new,YG141,13494.5,0,24.12665597,0.075898181,1193.280534,1.066658678,1.384935652,25.44671249,6,1.42,0.5,2.556,25.43361664,25.44671249,26.01891136,1800.647949,1748.741577,17.04461288,19.13398933,51.33855438,57.6317749,300.4482727,1500.809448,0.195223674,98.27626038,-12.17655563,0.193743914,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500747121,0.001066659,298.5967125,298.5836166,240.1295057,2.284381588,3.26535257,33.2262599,14.09227057,25.44016457,3.264082324,0.073709443,1.880416918,1.383665406,0.046260171,117.2711485,0.682365279,57.7026999,1735.998625,0.008019437
MQ2,MQ2/svs140608_.xls,140608,acabin new,YG141,14238.5,0,6.685023593,0.055456395,184.9422686,0.718105693,1.269173321,24.03578568,6,1.42,0.5,2.556,24.8752327,24.03578568,26.03287125,401.3447876,387.4378967,16.21336937,17.62228584,50.49744415,54.88559341,300.4227905,1570.845703,0.265300453,98.2985611,2.87588501,0.204352587,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500704651,0.000718106,297.1857857,298.0252327,251.3353062,2.718930541,3.001418662,30.53369885,12.91141301,24.45550919,3.077911139,0.054278734,1.732245341,1.345665798,0.034028084,18.17955889,0.477346873,57.59107003,383.9070744,0.010028408
MQ2,MQ2/svs140609_.xls,140609,acabin new,YG158,6421,0,24.52161394,0.098720626,1324.087524,1.047801685,1.056088921,24.57658005,6,1.42,0.5,2.556,25.15143585,24.57658005,26.02974892,1801.277222,1761.729736,19.2410984,20.77999115,58.99377823,63.71206665,400.0389404,1498.651611,0.200229436,98.37352753,-13.82946587,0.209003985,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666731567,0.001047802,297.7265801,298.3014359,239.7842518,2.372354453,3.100289953,31.5154903,10.73549915,24.86400795,3.153988791,0.09504952,2.044201031,1.10978776,0.059725217,130.2551605,0.751583797,66.32193559,1748.778179,0.009299755
MQ2,MQ2/svs140609_.xls,140609,acabin new,YG158,6523,0,9.393449076,0.074718934,173.0137195,0.865171087,1.142240426,24.56313133,6,1.42,0.5,2.556,25.10536194,24.56313133,26.03036308,399.0765076,384.4894714,18.6073513,19.8791256,57.20679855,61.11676788,400.0578918,1498.577881,0.160179004,98.37236786,2.883394241,0.219130099,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666763153,0.000865171,297.7131313,298.2553619,239.772455,2.463298323,3.097797082,31.49052065,11.61139505,24.83424664,3.148391154,0.072596731,1.955556656,1.192834497,0.045558967,17.01976926,0.449982983,63.23018105,379.5281427,0.015649682
