site_id,tavg_recentMonth,prec_recentMonth,Latitude,Longitude,Elevation_map,site_revised,date
1,20.30161292,0,-18.71986,138.52217,NA,QLD_Lawn_Hill,26/08/2015
2,20.88016129,0,-19.04745,138.8575,NA,QLD_Lawn_Hill,25/08/2015
3,10.48354843,0.374999997,-31.0831,141.71401,NA,NSW_Fowlers_Gap,9/04/2015
4,10.96370967,0.334999993,-30.81876,141.7987,NA,NSW_Fowlers_Gap,9/04/2015
5,11.1609677,0.36,-30.7094,141.87689,NA,NSW_Fowlers_Gap,9/04/2015
6,22.67209685,0,-18.16105,142.21069,NA,QLD_Croydon,22/08/2015
6,22.67209685,0,-18.16105,142.21069,NA,QLD_Croydon,23/08/2015
7,22.67209685,0,-18.15871,142.21484,NA,QLD_Croydon,22/08/2015
8,10.44532257,0.900000011,-31.29462,142.25054,NA,NSW_Mutawintji,10/04/2015
9,22.4819355,0,-18.18903,142.26241,NA,QLD_Croydon,23/08/2015
10,23.21080645,0,-18.21837,142.27066,NA,QLD_Croydon,22/08/2015
11,21.36483876,0.300000012,-31.29606,142.27874,NA,NSW_Mutawintji,10/04/2015
12,17.0083871,2.100000001,-18.32071,145.41898,NA,QLD_Princess_Hill,19/08/2015
13,16.82838715,3.300000027,-18.32728,145.45414,NA,QLD_Princess_Hill,18/08/2015
14,16.77145157,3.200000055,-18.31625,145.46642,NA,QLD_Princess_Hill,18/08/2015
15,17.11354843,3.899999991,-18.29731,145.48898,NA,QLD_Princess_Hill,19/08/2015
16,17.11354843,3.899999991,-18.29787,145.48911,NA,QLD_Princess_Hill,19/08/2015
17,17.14370972,3.899999991,-18.29734,145.48915,NA,QLD_Princess_Hill,19/08/2015
17,17.14370972,3.899999991,-18.29734,145.48915,NA,QLD_Princess_Hill,20/08/2015
18,17.83758064,3.199999988,-18.21169,145.52417,NA,QLD_Blencoe_Falls,16/08/2015
19,16.16758071,6.300000049,-18.22401,145.52532,NA,QLD_Blencoe_Falls,16/08/2015
20,18.77451614,4.100000001,-18.23223,145.53238,NA,QLD_Blencoe_Falls,16/08/2015
21,18.66822581,4,-18.229,145.53618,NA,QLD_Blencoe_Falls,15/08/2015
22,16.06370974,6.200000048,-18.21239,145.54145,NA,QLD_Blencoe_Falls,15/08/2015
23,18.19564512,105.5000003,-17.37241,145.74322,NA,QLD_Bartlefrere,6/08/2015
24,18.19564512,105.5000003,-17.36894,145.74353,NA,QLD_Bartlefrere,6/08/2015
25,18.19564512,105.5000003,-17.36688,145.75258,NA,QLD_Bartlefrere,6/08/2015
26,18.86290324,105.0999989,-17.37655,145.75883,NA,QLD_Bartlefrere,5/08/2015
27,18.86290324,105.0999989,-17.37895,145.76094,NA,QLD_Bartlefrere,5/08/2015
28,18.86290324,105.0999989,-17.37878,145.7617,NA,QLD_Bartlefrere,5/08/2015
29,18.86290324,105.0999989,-17.37886,145.76225,NA,QLD_Bartlefrere,5/08/2015
30,19.3993548,53.70000036,-17.96665,145.96806,NA,QLD_Mt_Mackay,8/08/2015
31,19.56322575,53.39999883,-17.92181,146.01045,NA,QLD_Mt_Mackay,12/08/2015
32,18.86338702,51.90000002,-17.92285,146.06817,NA,QLD_Mission_Beach,12/08/2015
33,18.87822573,52.30000003,-17.91588,146.06968,NA,QLD_Mission_Beach,11/08/2015
34,19.17225819,16.00000023,-18.37945,146.07626,NA,QLD_Cardwell_N,10/08/2015
35,19.57467741,19.60000029,-18.43758,146.13636,NA,QLD_Cardwell_S,9/08/2015
36,22.3319357,11.5999996,-32.96407,146.16016,NA,NSW_Round_Hill,5/04/2015
37,22.3319357,11.5999996,-32.96381,146.16138,NA,NSW_Round_Hill,5/04/2015
38,22.3319357,11.5999996,-32.96394,146.16149,NA,NSW_Round_Hill,5/04/2015
39,22.46451615,12.39999992,-33.00208,146.16899,NA,NSW_Round_Hill,6/04/2015
40,22.48096764,10.49999978,-33.03783,146.20221,NA,NSW_Round_Hill,6/04/2015
41,14.75129031,91.80000083,-43.03746,146.27668,NA,TAS_Red_Knoll,7/03/2015
42,12.58693562,92.10000037,-42.8358,146.37903,NA,TAS_Frodshams_Pass,7/03/2015
43,14.27903232,79.79999966,-42.77492,146.39731,NA,TAS_Frodshams_Pass,6/03/2015
44,14.27903232,79.79999966,-42.75833,146.40609,NA,TAS_Frodshams_Pass,6/03/2015
44,14.27903232,79.79999966,-42.75833,146.40609,NA,TAS_Frodshams_Pass,7/03/2015
45,15.47080654,21.90000007,-42.38633,147.05022,NA,TAS_Bothwell,9/03/2015
46,15.54612911,21.50000007,-42.38635,147.05113,NA,TAS_Bothwell,9/03/2015
46,15.54612911,21.50000007,-42.38635,147.05113,NA,TAS_Bothwell,8/03/2015
47,15.47080654,21.90000007,-42.38724,147.05174,NA,TAS_Bothwell,9/03/2015
48,15.47080654,21.90000007,-42.38268,147.06002,NA,TAS_Bothwell,8/03/2015
48,15.47080654,21.90000007,-42.38268,147.06002,NA,TAS_Bothwell,9/03/2015
49,10.59000003,39.59999971,-42.88515,147.22187,1118,TAS_Mt_Wellington,3/03/2015
50,10.64822584,35.69999981,-42.88596,147.22224,1100,TAS_Mt_Wellington,4/03/2015
50,10.64822584,35.69999981,-42.88596,147.22224,1100,TAS_Mt_Wellington,3/03/2015
51,13.51241934,38.89999987,-42.89145,147.22834,1185,TAS_Mt_Wellington,2/03/2015
52,13.51241934,38.89999987,-42.89581,147.23627,1264,TAS_Mt_Wellington,2/03/2015
53,13.51241934,38.89999987,-42.88986,147.23655,986,TAS_Mt_Wellington,2/03/2015
54,13.51241934,38.89999987,-42.91482,147.24619,732,TAS_The_Springs,3/03/2015
54,13.51241934,38.89999987,-42.91482,147.24619,732,TAS_The_Springs,2/03/2015
55,16.45258054,20.19999992,-42.84638,147.43151,NA,TAS_Mt_Canopus,12/03/2015
