sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2
T162,68.85036817,22174.4099
YG135,47.57515007,16388.2986
T153,71.23446979,20208.17808
QL307,59.38780939,16011.14653
QL305,53.54245278,14197.18668
T243,70.51256435,21693.00662
KG079,57.7575317,15713.8413
QL453,45.20785143,12133.1831
T166,52.40930164,18320.81059
QL333,33.36113469,6855.28144
YG204,56.70681316,17825.23668
QL331,37.96125301,8844.537571
QL184,65.30324647,15393.4583
YG045,59.06187002,12743.58075
QL116,57.55165587,9027.43518
T372,147.2713767,25049.56463
QL306,59.59753714,15121.6285
YG029,58.45285308,7629.594911
T219,180.3044914,55123.4283
T245,198.5554944,52769.61556
T336,120.3704081,45910.68262
QL330,120.8154138,29675.3838
T149,109.4106746,23913.50096
QL234,131.8209444,25510.50436
KG038,51.59220323,12753.71585
QL175,77.32180488,14992.7817
T382,95.33660179,22181.67078
KG081,54.17719678,19117.9697
RH003,63.3015432,20841.73073
KG077,45.26508028,12192.18819
T376,154.4148684,19346.87471
T221,89.69409683,30716.95495
T023,59.60493261,21387.30234
RH056,43.81288918,19048.63991
KG049,56.41387348,18618.19495
T022,84.17717815,22518.64312
T157,75.97941261,29893.63805
T397,82.81455069,20482.94051
T377,88.69468076,23441.40671
T161,79.67616719,24445.40274
RH063,80.38642247,26842.41715
KG022,44.04754021,15055.99806
RH065,49.07218232,17694.67255
YG056,110.2639192,19167.65195
QL151,46.97364421,6705.725509
QL137,75.01104314,13755.61686
QL304,58.84420889,16630.95183
KG137,40.6845535,12657.79543
YG082,45.31309476,8164.080944
QL186,59.0347475,11340.09272
QL132,76.18620567,11213.88911
QL456,59.98973219,14565.91404
RH060,35.55467435,17273.71281
RH097,29.12285928,12952.32482
YG202,69.55700507,19476.02509
KG106,53.12369128,16670.23308
T053,89.13248879,16152.28214
QL314,78.75147215,14663.893
YG136,46.51452663,14789.74193
KG024,60.2582584,19932.06729
QL136,84.30359024,14390.06859
YG055,69.15192524,16505.63979
RH006,107.2829654,22323.6205
QL229,96.50501882,18132.3694
T054,87.01557913,20325.98956
QL111,88.73304598,14251.15851
YG121,78.82066197,16628.05572
QL329,50.47671583,10303.11507
QL173,67.52726863,13576.1926
T402,81.09074194,20952.82197
T146,52.22649093,16986.51073
KG121,42.05437528,10634.00189
QL308,39.54827761,10501.76056
KG107,58.50596351,18742.98138
YG072,68.47563195,10732.06835
KG141,58.25955235,15926.90515
QL415,52.01667468,14337.46628
RH010,57.21640038,17910.64083
QL230,75.8905604,17696.84694
T378,92.78966373,23751.89667
QL141,81.67836045,9013.775679
KG119,57.79017151,17640.60296
KG037,48.52413931,12382.88098
YG118,51.51709491,13953.91186
T017,106.819163,27897.90787
QL312,29.66544249,6812.169521
QL313,78.02297836,16542.38609
T341,50.78665552,20350.58487
T399,36.43031144,11027.84831
QL399,43.06511638,13817.32342
RH101,37.83883163,14140.34409
RH117,97.72759391,16128.27717
T324,53.29214339,13312.60152
QL402,34.45076429,11136.49699
YG170,32.67839909,11128.74086
KG139,43.46701184,11784.10171
KG103,50.72578924,12621.18557
T407,42.59914204,11216.48981
QL226,75.4926437,16953.04083
T021,93.41536961,23940.74773
QL404,39.10348588,13467.02576
T329,40.49137915,9049.114065
QL143,84.31387846,9566.604156
QL145,74.51410019,9682.929149
RH098,25.72174081,10602.1877
QL317,55.40500578,10459.96914
QL448,46.05834473,13718.21632
KG050,42.073672,14768.3759
T163,43.81316988,13771.32726
YG031,42.25125591,8227.754167
QL107,51.64355852,8764.877698
QL233,98.81466986,18719.49645
RH121,77.69376594,22053.72788
QL142,144.5063327,19100.96452
KG102,53.51953919,13063.08271
T151,41.32971482,13211.88847
QL134,50.09240259,9597.092715
YG169,44.60672812,14397.62073
QL332,45.56348495,9748.239259
QL408,28.80934962,9473.518037
T380,101.5602364,17276.64976
T340,91.6019,30271.97328
RH100,47.33512717,16331.62925
QL115,121.5156145,18730.17473
T331,86.05350394,27052.8017
QL398,48.47045504,16934.6388
KG143,59.81962089,15422.31008
T057,89.42164361,16668.74909
T242,69.60057582,22852.49611
KG133,48.94432283,7920.427793
T332,52.21696092,20593.88826
YG017,89.7553052,11776.09544
RH061,40.23081752,14874.54876
QL135,61.3858607,11197.19682
YG077,57.98340805,12139.55984
KG083,65.24567992,21144.90641
YG070,51.02660492,13571.88782
T398,82.78884045,19518.99927
YG187,43.21607578,16343.71459
KG142,56.39926806,14828.74719
KG101,52.32914987,14440.33779
QL318,73.5648466,14289.52841
QL328,50.8514163,11741.19451
QL321,77.77631483,14662.05809
QL185,76.52414282,16274.66507
RH011,58.70654156,18825.93084
YG054,39.28402255,10472.26546
T222,79.42643735,24214.84045
QL238,82.24224232,18360.93838
KG082,74.18735649,25138.06869
T241,153.8011957,28321.08676
KG105,56.26710848,16688.38079
T405,92.88814418,17826.06933
KG123,56.223849,11844.25079
QL228,109.8556634,25902.71062
T339,70.83550771,25770.84484
QL106,102.8200867,12336.93869
RH122,57.46549238,19026.28099
T249,63.42774157,15037.02294
T218,71.06176066,24237.17096
T373,153.4462867,25608.4668
T328,100.6234098,25379.57181
RH124,57.96601522,19300.57268
QL449,62.55434527,14500.44612
T319,97.88531481,15853.25962
KG078,54.13034536,14415.96196
QL454,76.10146943,16944.91457
T019,41.91442194,15521.9829
T225,81.56073866,26429.90663
YG080,55.82527559,14983.96888
YG044,61.44513517,16081.16719
QL232,85.26203872,17596.28272
QL237,46.61836158,12009.39425
YG076,116.8382929,19027.74663
RH118,86.85555479,16043.47792
YG071,76.31848926,18587.78803
RH005,71.15746755,13444.89167
KG138,53.8131786,16928.34654
YG043,91.96060882,13578.89955
T246,82.54596679,24009.81541
YG021,79.06460497,22749.25016
KG122,45.87866206,10379.94136
QL153,35.23328031,7241.840518
T227,83.65686885,23684.1536
T406,75.6856616,19856.21358
YG081,79.36399539,12941.44804
RH123,88.05996941,20699.19066
T055,71.66609732,19205.29516
YG030,50.05692548,9134.167458
RH099,51.50569281,11114.17703
QL325,58.77795843,11433.24499
RH002,83.21738124,21842.23301
KG134,64.73404507,21000.56852
T058,80.93170451,21185.56813
T374,57.24700837,15142.01415
QL452,42.89848127,12413.37224
T018,66.80859043,23541.97806
QL171,73.45197067,10978.92702
QL411,55.46736029,16084.60576
QL236,73.29953308,15630.42163
T013,92.78996097,22664.63052
QL139,115.4852095,15635.02965
QL146,123.3149595,16122.79702
T155,55.06919775,19173.12429
