Longitude,Latitude
145.75258,-17.36688
145.74353,-17.36894
145.74322,-17.37241
145.75883,-17.37655
145.7617,-17.37878
145.76225,-17.37886
145.76094,-17.37895
146.06968,-17.91588
146.01045,-17.92181
146.06817,-17.92285
145.96806,-17.96665
142.21484,-18.15871
142.21069,-18.16105
142.21069,-18.16105
142.26241,-18.18903
145.52417,-18.21169
145.54145,-18.21239
142.27066,-18.21837
145.52532,-18.22401
145.53618,-18.229
145.53238,-18.23223
145.48898,-18.29731
145.48915,-18.29734
145.48915,-18.29734
145.48911,-18.29787
145.46642,-18.31625
145.41898,-18.32071
145.45414,-18.32728
146.07626,-18.37945
146.13636,-18.43758
138.52217,-18.71986
138.8575,-19.04745
141.87689,-30.7094
141.7987,-30.81876
141.71401,-31.0831
142.25054,-31.29462
142.27874,-31.29606
150.9291,-32.7817
150.9291,-32.7817
150.9291,-32.7817
150.9291,-32.7817
150.9291,-32.7817
150.9291,-32.7817
150.92318,-32.78244
150.92318,-32.78244
150.92318,-32.78244
150.92318,-32.78244
150.92318,-32.78244
150.92318,-32.78244
146.16138,-32.96381
146.16149,-32.96394
146.16016,-32.96407
146.16899,-33.00208
146.20221,-33.03783
150.68326,-33.045
150.68326,-33.045
150.68326,-33.045
151.14825,-33.67856
151.14825,-33.67856
151.14825,-33.67856
151.14428,-33.68188
151.14428,-33.68188
151.14428,-33.68188
151.14428,-33.68188
151.14541,-33.6933
151.14541,-33.6933
151.14541,-33.6933
151.14541,-33.6933
148.33655,-42.10667
148.33585,-42.1161
148.34189,-42.12251
148.34306,-42.12261
148.34204,-42.12299
148.29854,-42.14309
147.06002,-42.38268
147.06002,-42.38268
147.05022,-42.38633
147.05113,-42.38635
147.05113,-42.38635
147.05174,-42.38724
146.40609,-42.75833
146.40609,-42.75833
146.39731,-42.77492
146.37903,-42.8358
147.43151,-42.84638
147.43592,-42.84732
147.22187,-42.88515
147.22224,-42.88596
147.22224,-42.88596
147.23655,-42.88986
147.22834,-42.89145
147.23627,-42.89581
147.24619,-42.91482
147.24619,-42.91482
146.27668,-43.03746
147.94647,-43.0403
147.95053,-43.04191
