sample,gap
KG001,46.45
KG002,NA
KG003,46.45
KG004,46.45
KG005,46.45
KG006,54.12
KG007,54.12
KG008,54.12
KG009,72.05
KG010,72.05
KG011,72.05
KG012,72.05
KG013,63.94
KG014,63.94
KG015,63.94
KG016,63.94
KG017,51.82
KG018,51.82
KG019,51.82
KG020,51.82
KG021,87.65
KG022,87.65
KG023,87.65
KG023,87.65
KG024,87.65
KG025,37.88
KG026,37.88
KG027,37.88
KG028,37.88
KG029,41.74
KG030,41.74
KG031,41.74
KG032,41.74
KG033,32.98
KG034,32.98
KG035,32.98
KG036,94.74
KG037,94.74
KG038,94.74
KG039,94.74
KG040,35.7
KG041,35.7
KG042,35.7
KG043,35.7
KG044,39.89
KG045,39.89
KG046,39.89
KG047,39.89
KG048,90.5
KG049,90.5
KG050,90.5
KG051,90.5
KG051,90.5
KG052,48.52
KG053,48.52
KG054,48.52
KG055,48.52
KG056,38.77
KG057,38.77
KG058,38.77
KG059,38.77
KG060,74.11
KG061,74.11
KG062,74.11
KG063,74.11
KG064,38.32
KG065,38.32
KG066,38.32
KG067,38.32
KG068,39.55
KG069,39.55
KG070,39.55
KG071,39.55
KG072,74.87
KG073,74.87
KG074,74.87
KG075,74.87
KG076,66.38
KG077,66.38
KG078,66.38
KG079,66.38
KG080,88.66
KG081,88.66
KG082,88.66
KG083,88.66
KG084,42.11
KG085,42.11
KG086,42.11
KG087,42.11
KG088,46.41
KG089,46.41
KG090,46.41
KG091,46.41
KG092,66.55
KG093,66.55
KG094,66.55
KG095,66.55
KG096,48.89
KG097,48.89
KG098,48.89
KG099,48.89
KG100,51.26
KG101,51.26
KG102,51.26
KG103,51.26
KG104,45.43
KG105,45.43
KG106,45.43
KG107,45.43
KG108,51.54
KG109,51.54
KG110,51.54
KG111,51.54
KG112,48.92
KG113,48.92
KG114,48.92
KG115,48.92
KG116,54.28
KG117,54.28
KG118,54.28
KG119,54.28
KG120,69.8
KG121,69.8
KG122,69.8
KG123,69.8
KG124,51.86
KG125,51.86
KG126,51.86
KG127,51.86
KG128,48.37
KG129,48.37
KG130,48.37
KG131,48.37
KG132,62.37
KG133,62.37
KG134,62.37
KG135,62.37
KG136,45.41
KG137,45.41
KG138,45.41
KG139,45.41
KG140,91.13
KG141,91.13
KG142,91.13
KG143,91.13
KG144,45.41
QL001,30.31
QL002,30.31
QL003,30.31
QL004,30.31
QL005,33.08
