variable,full name,unit of measurement,description,data source,URL
alpha,Cramer-Prentice Alpha (aridity index),,"Cramer-Prentice Alpha (aridity index), derived from time series data spanning 1970-2012, 0.01 deg resolution",eMAST R-Package v1.1,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/eMAST-R-Package_v1-1_aridity-index_monthly_0-01deg_1970-2012.html?dataset=eMAST-R-Package_v1-1_aridity-index_monthly_0-01deg_1970-2012_agg
biological_rep,Biological replicate,,3 replicate individual plants per species*site combination were sampled. This number indicates the identity of the replicate.  ,,
C,Leaf carbon content,%,"Leaf carbon content, assayed in lab.",,
Ci,Leaf internal CO2 concentration,ppm,"Estimated internal CO2 concentration of leaf, measured using Li6400XT Portable Photosynthesis System",,
Cond,Stomatal conductance,mmol m?2 s?1,"Measured using Li6400XT Portable Photosynthesis System at CO2 = 1800, PAR = 1500, Tleaf = ~25",,
d13C,delta 13C,parts per thousand,"Carbon isotopic signature of leaf, a measure of the ratio of stable isotopes 13C : 12C",,
date,Sampling date,,,,
dnrg,Mean Diurnal Range (Mean of monthly (tmax - tmin)),oC,"Derived from minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.1,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
gap,Canopy gap fraction,fraction,Fraction of canopy not occluded by vegetation. Measured by analysis of fish-eye photographs using Gap Light Analyzer v2.0,,
gap_mean,Mean canopy gap fraction (aggregated by species*site ID),fraction,Fraction of canopy not occluded by vegetation. Measured by analysis of fish-eye photographs using Gap Light Analyzer v2.0,,
irradiance,Mean annual solar irradiance,MJ m-2 year-1,"Mean annual irradiance, derived from time series data spanning 1950-2012, 0.01 deg resolution",eMAST R-Package v1.1,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/eMAST-R-Package_v1-1_radiation-mean_yearly_0-01deg_1970-2012.html?dataset=eMAST-R-Package_v1-1_radiation-mean_yearly_0-01deg_1970-2012_agg
isot,Isothermality (drng/trng) (* 100),,"Derived from minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.2,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
Latitude,Latitude,decimal,,,
leaf_age,Leaf age,,"Age of leaf sampled - new,  mid, old, sen. New = youngest fully expanded leaf on shoot,  old = old but not senescent, mid = age between new and old, sen  = senescent.",,
leaf_rad,Incident solar irradiance,MJ m-2 year-1,Calculated as mean annual solar radiation * canopy gap fraction,Solar radiation data from eMAST R-Package v1.1,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/eMAST-R-Package_v1-1_radiation-mean_yearly_0-01deg_1970-2012.html?dataset=eMAST-R-Package_v1-1_radiation-mean_yearly_0-01deg_1970-2012_agg
leafrad_mean,Mean incident solar irradiance (aggregated by species*site ID),MJ m-2 year-1,Calculated as mean annual solar radiation * canopy gap fraction,Solar radiation data from eMAST R-Package v1.1,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/eMAST-R-Package_v1-1_radiation-mean_yearly_0-01deg_1970-2012.html?dataset=eMAST-R-Package_v1-1_radiation-mean_yearly_0-01deg_1970-2012_agg
LMA_g_per_m2,Leaf mass per area,g dry mass/m2,Describes investment in leaf tissue per unit area. ,,
LMA_mean,Mean leaf mass per area (aggregated by species*site ID),g dry mass/m2,Describes investment in leaf tissue per unit area. ,,
Longitude,Longitude,decimal,,,
LWC_percent,Leaf water content, %,"% of leaf mass accounted for by water, calculated as: (leaf wet mass - leaf dry mass) / leaf wet mass",,
mg_Cl_a_per_m2,Chlorophyll a per leaf area,mg m-2,"Leaf chlorophyll a content per leaf area, measured by spectrophotometry",,
mg_Cl_b_per_m2,Chlorophyll b per leaf area,mg m-2,"Leaf chlorophyll b content per leaf area, measured by spectrophotometry",,
mg_Cl_total_per_m2,Total chlorophyll per leaf area,mg m-2,"Combined chlorophyll a and b per leaf area, measured by spectrophotometry",,
leaf_N,Leaf nitrogen (N) content,%,Measured by lab assay,,
leaf_N_per_area,Leaf nitrogen (N) content per leaf area,mg m-2,Derived from leaf N % and leaf mass per area,,
leaf_Narea_mean,Mean leaf nitrogen (N) content per leaf area (aggregated by species*site ID),mg m-2,Derived from leaf N % and leaf mass per area,,
leaf_P,Leaf phosphorus (P) content,%,Measured by lab assay,,
