"","submodel","R2","pval","p.adj"
"2","lipid_metabolism",0.139,0,0
"21","DNA",0.121,0,0
"9","signalling",0.115,0,0
"10","biotic_stress",0.11,0,0
"6","secondary_metabolism",0.107,0,0
"8","redox",0.098,0,0
"13","glycolysis",0.096,0,0
"25","protein_folding",0.092,0,0
"16","TCA_org_transformation",0.089,0,0
"27","stress",0.086,0,0
"7","protein",0.082,0,0
"22","HSPs",0.077,0,0
"19","Photorespiration",0.064,0,0
"1","abiotic_stress",0.061,0,0
"14","Calvin_cycle",0.059,0,0
"5","mitochondrial_electron_transport_ATP_synthesis",0.056,0,0
"24","RNA",0.052,0,0
"17","Rubisco",0.049,0,0
"3","Cytochrome_b6f",0.034,0,0
"11","electron_transport_minATPsynth",0.034,0,0
"20","ATP_synthase_chloroplastic",0.029,0,0
"26","Light_reactions",0.016,0.02,0.024545
"4","PSII",0.009,0.1,0.11739
"12","Photosystems",0.008,0.12,0.135
"18","polyamine_metabolism",0.006,0.17,0.1836
"23","PSI",0.005,0.24,0.24923
"15","hormone_metabolism",0.001,0.57,0.57
