"","BINCODE","NAME"
"1","_29.2.4_","protein.synthesis.elongation"
"2","_1.1.2.2_","PS.lightreaction.photosystem I.PSI polypeptide subunits"
"3","_20.2.3_","stress.abiotic.drought/salt"
"4","_1.3.5_","PS.calvin cycle.TPI"
"5","_10.6.3_","cell wall.degradation.pectate lyases and polygalacturonases"
"6","_20.2.1_","stress.abiotic.heat"
"7","_27.1.1_","RNA.processing.splicing"
"8","_7.2.2_","OPP.non-reductive PP.transaldolase"
"9","_29.2.4_","protein.synthesis.elongation"
"10","_29.1.12_","protein.aa activation.aspartate-tRNA ligase"
"11","_35.1_","not assigned.no ontology"
"12","_1.2.6_, _13.2.5.2_","PS.photorespiration.hydroxypyruvate reductase, amino acid metabolism.degradation.serine-glycine-cysteine group.glycine"
"13","_16.1.1.10_","secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase"
"14","_1.2.5_, _25.1_","PS.photorespiration.serine hydroxymethyltransferase, C1-metabolism.glycine hydroxymethyltransferase"
"15","_35.2_","not assigned.unknown"
"16","_1.3_","PS.calvin cycle"
"17","_1.1.5.3_","PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase"
"18","_35.2_","not assigned.unknown"
"19","_26.22_","misc.short chain dehydrogenase/reductase (SDR)"
"20","_34.19.1_","transport.Major Intrinsic Proteins.PIP"
"21","_4.1.12_","glycolysis.cytosolic branch.phosphoglycerate mutase"
"22","_29.6_","protein.folding"
"23","_21.6_","redox.dismutases and catalases"
"24","_29.6_","protein.folding"
"25","_35.1_","not assigned.no ontology"
"26","_26.7_","misc.oxidases - copper, flavone etc"
"27","_11.9.4.9_","lipid metabolism.lipid degradation.beta-oxidation.multifunctional"
"28","_20.2.1_, _29.6_","stress.abiotic.heat, protein.folding"
"29","_35.1_","not assigned.no ontology"
"30","_1.1.1.1_","PS.lightreaction.photosystem II.LHC-II"
"31","_13.2.5.2_","amino acid metabolism.degradation.serine-glycine-cysteine group.glycine"
"32","_1.3.1_","PS.calvin cycle.rubisco large subunit"
"33","_31.2_","cell.division"
"34","_21.2.1_","redox.ascorbate and glutathione.ascorbate"
"35","_2.2.2.2_","major CHO metabolism.degradation.starch.starch phosphorylase"
"36","_5.10_","fermentation.aldehyde dehydrogenase"
"37","_31.3.1_","cell.cycle.peptidylprolyl isomerase"
"38","_29.4_","protein.postranslational modification"
"39","_16.1_, _16.1.5_","secondary metabolism.isoprenoids, secondary metabolism.isoprenoids.terpenoids"
"40","_35.2_","not assigned.unknown"
"41","_20_, _20.2.99_","stress, stress.abiotic.unspecified"
"42","_1.1.1.2_","PS.lightreaction.photosystem II.PSII polypeptide subunits"
"43","_29.6_","protein.folding"
"44","_29.1.9_","protein.aa activation.valine-tRNA ligase"
"45","_29.3.3_","protein.targeting.chloroplast"
"46","_29.5.7_","protein.degradation.metalloprotease"
"47","_35.2_","not assigned.unknown"
"48","_1.1.2.2_","PS.lightreaction.photosystem I.PSI polypeptide subunits"
"49","_4.2.14_, _11.1.30_","glycolysis.plastid branch.pyruvate kinase (PK), lipid metabolism.FA synthesis and FA elongation.pyruvate kinase"
"50","_1.3.6_, _4.1.10_","PS.calvin cycle.aldolase, glycolysis.cytosolic branch.aldolase"
"51","_2.2.1.5_","major CHO metabolism.degradation.sucrose.Susy"
"52","_1.3.13_, _29.6_","PS.calvin cycle.rubisco interacting, protein.folding"
"53","_1.1.1.2_","PS.lightreaction.photosystem II.PSII polypeptide subunits"
"54","_29.2.1.2.2.513_","protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L13A"
"55","_16.1.5_","secondary metabolism.isoprenoids.terpenoids"
"56","_26.5_","misc.acyl transferases"
"57","_21.5.1_","redox.peroxiredoxin.BAS1"
"58","_20.2.1_","stress.abiotic.heat"
"59","_35.1_","not assigned.no ontology"
"60","_29.2.1.1.1.1.7_","protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S7"
"61","_29.5.5_","protein.degradation.serine protease"
"62","_31.4_","cell.vesicle transport"
"63","_13.1.6.1.1_","amino acid metabolism.synthesis.aromatic aa.chorismate.3-deoxy-D-arabino-heptulosonate 7-phosphate synthase"
"64","_28.99_","DNA.unspecified"
"65","_1.1.2.1_","PS.lightreaction.photosystem I.LHC-I"
"66","_1.1.1.2_","PS.lightreaction.photosystem II.PSII polypeptide subunits"
"67","_29.2.3_","protein.synthesis.initiation"
"68","_29.2.1.1.1.2.3_","protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L3"
"69","_20.2.1_","stress.abiotic.heat"
"70","_20.2.1_","stress.abiotic.heat"
"71","_10.6.2_","cell wall.degradation.mannan-xylose-arabinose-fucose"
"72","_21.1.1_","redox.thioredoxin.PDIL"
"73","_35.2_","not assigned.unknown"
"74","_21.1_","redox.thioredoxin"
"75","_29.5.7_","protein.degradation.metalloprotease"
"76","_29.6_","protein.folding"
"77","_8.1.1.1_, _11.1.31_","TCA / org transformation.TCA.pyruvate DH.E1, lipid metabolism.FA synthesis and FA elongation.pyruvate DH"
"78","_1.1.4.4_","PS.lightreaction.ATP synthase.gamma chain"
"79","_20.2.1_","stress.abiotic.heat"
"80","_17.2.2_, _31.4_","hormone metabolism.auxin.signal transduction, cell.vesicle transport"
"81","_29.5_","protein.degradation"
"82","_20.2.1_","stress.abiotic.heat"
"83","_29.5.11.20_","protein.degradation.ubiquitin.proteasom"
"84","_8.1.6_","TCA / org transformation.TCA.succinyl-CoA ligase"
"85","_1.3.3_, _4.1.11_","PS.calvin cycle.phosphoglycerate kinase, glycolysis.cytosolic branch.3-phosphoglycerate kinase (PGK)"
"86","_5.3_","fermentation.ADH"
"87","_16.8.5.1_","secondary metabolism.flavonoids.isoflavones.isoflavone reductase"
"88","_3.1.1.1_, _3.1.1.2_","minor CHO metabolism.raffinose family.galactinol synthases.known, minor CHO metabolism.raffinose family.galactinol synthases.putative"
"89","_12.2.1.1_","N-metabolism.ammonia metabolism.glutamate synthase.ferredoxin dependent"
"90","_8.1.1.3_","TCA / org transformation.TCA.pyruvate DH.E3"
"91","_29.4_","protein.postranslational modification"
"92","_29.2.1.1.1.1.83_","protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.PSRP3"
"93","_29.5.5_","protein.degradation.serine protease"
"94","_35.2_","not assigned.unknown"
"95","_16.8.5.1_","secondary metabolism.flavonoids.isoflavones.isoflavone reductase"
"96","_34.9_","transport.metabolite transporters at the mitochondrial membrane"
"97","_35.1_","not assigned.no ontology"
"98","_28.1.3.2.4_","DNA.synthesis/chromatin structure.histone.core.H4"
"99","_35.2_","not assigned.unknown"
"100","_26.28_, _33.99_","misc.GDSL-motif lipase, development.unspecified"
"101","_30.3_","signalling.calcium"
"102","_29.5_","protein.degradation"
"103","_27.3.67_","RNA.regulation of transcription.putative transcription regulator"
"104","_35.2_","not assigned.unknown"
"105","_23.1.2.6_","nucleotide metabolism.synthesis.purine.AIR carboxylase"
"106","_4.1.1_","glycolysis.cytosolic branch.UGPase"
"107","_31.1.1.1.3_","cell.organisation.cytoskeleton.actin.actin binding"
"108","_27.3.99_","RNA.regulation of transcription.unclassified"
"109","_20.2.1_","stress.abiotic.heat"
"110","_29.6_","protein.folding"
"111","_29.6_, _31.3.1_","protein.folding, cell.cycle.peptidylprolyl isomerase"
"112","_20.2.1_","stress.abiotic.heat"
"113","_31.1_","cell.organisation"
"114","_17.2.3_","hormone metabolism.auxin.induced-regulated-responsive-activated"
"115","_4.1.12_","glycolysis.cytosolic branch.phosphoglycerate mutase"
"116","_29.5.11.2_","protein.degradation.ubiquitin.E1"
"117","_1.3.2_","PS.calvin cycle.rubisco small subunit"
"118","_29.3.4.99_","protein.targeting.secretory pathway.unspecified"
"119","_27.3.23_","RNA.regulation of transcription.HSF,Heat-shock transcription factor family"
"120","_35.2_","not assigned.unknown"
"121","_17.2.3_","hormone metabolism.auxin.induced-regulated-responsive-activated"
"122","_1.3.2_","PS.calvin cycle.rubisco small subunit"
"123","_29.2.1.2.1.3_","protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S3"
"124","_29.5.11.20_","protein.degradation.ubiquitin.proteasom"
"125","_26.9_","misc.glutathione S transferases"
"126","_1.2.4.1_, _25_","PS.photorespiration.glycine cleavage.P subunit, C1-metabolism"
"127","_9.9_","mitochondrial electron transport / ATP synthesis.F1-ATPase"
"128","_15.2_","metal handling.binding, chelation and storage"
"129","_35.1_","not assigned.no ontology"
"130","_16.1.5_","secondary metabolism.isoprenoids.terpenoids"
"131","_29.5_, _29.5.7_","protein.degradation, protein.degradation.metalloprotease"
"132","_26.1_","misc.misc2"
"133","_29.2.1.2.1.13_","protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S13"
"134","_34.99_","transport.misc"
"135","_29.2.1.1.1.1.530_","protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S30A"
"136","_35.1_","not assigned.no ontology"
"137","_1.1.40_","PS.lightreaction.cyclic electron flow-chlororespiration"
"138","_15.2_","metal handling.binding, chelation and storage"
"139","_16.1.1_","secondary metabolism.isoprenoids.non-mevalonate pathway"
"140","_29.3.3_","protein.targeting.chloroplast"
"141","_6.5_","gluconeogenesis / glyoxylate cycle.pyruvate dikinase"
"142","_27.3.34_","RNA.regulation of transcription.Orphan family"
"143","_29.5.11.4.3.1_","protein.degradation.ubiquitin.E3.SCF.SKP"
"144","_20.2.1_","stress.abiotic.heat"
"145","_29.2.3_, _33.99_","protein.synthesis.initiation, development.unspecified"
"146","_20.2.1_","stress.abiotic.heat"
"147","_26.22_","misc.short chain dehydrogenase/reductase (SDR)"
"148","_20.2.3_","stress.abiotic.drought/salt"
"149","_1.1.1.2_","PS.lightreaction.photosystem II.PSII polypeptide subunits"
"150","_30.7_","signalling.14-3-3 proteins"
"151","_20.2.1_","stress.abiotic.heat"
"152","_20.2.1_","stress.abiotic.heat"
"153","_16.1.4.10_","secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase"
"154","_23.4.99_","nucleotide metabolism.phosphotransfer and pyrophosphatases.misc"
"155","_29.3.3_","protein.targeting.chloroplast"
"156","_26.10_","misc.cytochrome P450"
"157","_26.8_","misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"
"158","_34.19.1_","transport.Major Intrinsic Proteins.PIP"
"159","_20.2.1_","stress.abiotic.heat"
"160","_1.3.13_","PS.calvin cycle.rubisco interacting"
"161","_11.9.4.13_","lipid metabolism.lipid degradation.beta-oxidation.acyl CoA reductase"
"162","_7.1.1_","OPP.oxidative PP.G6PD"
"163","_35.1_","not assigned.no ontology"
"164","_29.5.11.5_","protein.degradation.ubiquitin.ubiquitin protease"
"165","_35.2_","not assigned.unknown"
"166","_7.2.4_","OPP.non-reductive PP.ribose 5-phosphate isomerase"
"167","_16.8.4.3_","secondary metabolism.flavonoids.flavonols.flavonol-3-O-rhamnosyltransferase"
"168","_29.3.4.2_","protein.targeting.secretory pathway.golgi"
"169","_17.4.1_, _26.2_","hormone metabolism.cytokinin.synthesis-degradation, misc.UDP glucosyl and glucoronyl transferases"
"170","_11.1.1.2.3_","lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation.heteromeric Complex.Biotin Carboxyl Carrier Protein"
"171","_11.1.3_","lipid metabolism.FA synthesis and FA elongation.ketoacyl ACP synthase"
"172","_35.1_","not assigned.no ontology"
"173","_1.3_","PS.calvin cycle"
"174","_30.7_","signalling.14-3-3 proteins"
"175","_18.7_","Co-factor and vitamine metabolism.iron-sulphur clusters"
"176","_29.5.11.2_","protein.degradation.ubiquitin.E1"
"177","_21.6_","redox.dismutases and catalases"
"178","_29.5.11.4.3.3_","protein.degradation.ubiquitin.E3.SCF.cullin"
