"","bin_arch","sample","sum","bin_arch_name"
"1","_1.1.1_","KG077",5533.861889282,"PSII"
"2","_1.1.1_","KG106",5361.518377829,"PSII"
"3","_1.1.1_","KG122",8199.310034167,"PSII"
"4","_1.1.1_","QL136",8478.977925933,"PSII"
"5","_1.1.1_","QL151",3871.267249989,"PSII"
"6","_1.1.1_","QL185",9261.417981916,"PSII"
"7","_1.1.1_","QL229",7823.982905861,"PSII"
"8","_1.1.1_","QL236",9710.958533801,"PSII"
"9","_1.1.1_","QL304",2405.746217229,"PSII"
"10","_1.1.1_","QL306",2899.418650641,"PSII"
"11","_1.1.1_","RH006",10783.991847242,"PSII"
"12","_1.1.1_","RH060",4490.510001377,"PSII"
"13","_1.1.1_","RH063",9824.958006828,"PSII"
"14","_1.1.1_","RH097",2999.485214726,"PSII"
"15","_1.1.1_","T022",6955.955235049,"PSII"
"16","_1.1.1_","T054",3383.366995342,"PSII"
"17","_1.1.1_","T157",12850.85123179,"PSII"
"18","_1.1.1_","T162",8979.187898041,"PSII"
"19","_1.1.1_","T166",6128.457714602,"PSII"
"20","_1.1.1_","T319",2765.438054301,"PSII"
"21","_1.1.1_","YG055",7936.597661888,"PSII"
"22","_1.1.1_","YG056",8460.688249963,"PSII"
"23","_1.1.1_","YG082",2752.745682681,"PSII"
"24","_1.1.1_","YG135",10088.487501965,"PSII"
"25","_1.1.1_","KG022",6635.053304719,"PSII"
"26","_1.1.1_","KG024",5078.550680044,"PSII"
"27","_1.1.1_","KG038",5755.540248747,"PSII"
"28","_1.1.1_","KG049",10399.060736725,"PSII"
"29","_1.1.1_","KG079",6540.733200462,"PSII"
"30","_1.1.1_","KG081",10980.306126701,"PSII"
"31","_1.1.1_","KG123",7432.4588241,"PSII"
"32","_1.1.1_","KG133",6329.913302147,"PSII"
"33","_1.1.1_","KG137",7495.326504764,"PSII"
"34","_1.1.1_","QL111",4112.584649914,"PSII"
"35","_1.1.1_","QL116",2312.81192304,"PSII"
"36","_1.1.1_","QL137",4505.464815759,"PSII"
"37","_1.1.1_","QL139",7004.832352718,"PSII"
"38","_1.1.1_","QL149",5365.156311623,"PSII"
"39","_1.1.1_","QL175",6861.128178894,"PSII"
"40","_1.1.1_","QL184",5870.104026685,"PSII"
"41","_1.1.1_","QL186",4447.565900899,"PSII"
"42","_1.1.1_","QL228",9279.229340604,"PSII"
"43","_1.1.1_","QL234",7107.991246136,"PSII"
"44","_1.1.1_","QL305",5148.779246177,"PSII"
"45","_1.1.1_","QL307",6649.930783771,"PSII"
"46","_1.1.1_","QL314",5564.283516161,"PSII"
"47","_1.1.1_","QL330",4190.10076225,"PSII"
"48","_1.1.1_","QL331",2190.380018106,"PSII"
"49","_1.1.1_","QL333",1528.455270118,"PSII"
"50","_1.1.1_","QL398",5243.911140436,"PSII"
"51","_1.1.1_","QL453",5721.9297287,"PSII"
"52","_1.1.1_","QL456",5313.554445004,"PSII"
"53","_1.1.1_","RH056",8643.350110585,"PSII"
"54","_1.1.1_","RH065",4950.702193723,"PSII"
"55","_1.1.1_","RH101",8428.268097779,"PSII"
"56","_1.1.1_","RH124",11357.674771371,"PSII"
"57","_1.1.1_","T149",3819.078235566,"PSII"
"58","_1.1.1_","T159",5817.498395363,"PSII"
"59","_1.1.1_","T161",9074.652686149,"PSII"
"60","_1.1.1_","T219",12821.766670643,"PSII"
"61","_1.1.1_","T221",14549.507695812,"PSII"
"62","_1.1.1_","T245",11074.596144658,"PSII"
"63","_1.1.1_","T331",15383.524449424,"PSII"
"64","_1.1.1_","T336",23103.351375939,"PSII"
"65","_1.1.1_","T376",6394.007404019,"PSII"
"66","_1.1.1_","T377",6168.823287917,"PSII"
"67","_1.1.1_","T382",14240.119888671,"PSII"
"68","_1.1.1_","T397",7895.97967988,"PSII"
"69","_1.1.1_","YG054",6007.916978216,"PSII"
"70","_1.1.1_","YG080",14045.910354987,"PSII"
"71","_1.1.1_","YG186",3549.761385116,"PSII"
"72","_1.1.1_","YG202",7823.571090102,"PSII"
"73","_1.1.1_","KG083",10958.342567164,"PSII"
"74","_1.1.1_","KG105",8519.062082056,"PSII"
"75","_1.1.1_","KG143",5170.820305346,"PSII"
