sample,Latitude,Longitude,leaf_age,biological_rep,irradiance,gap,LMA_g_per_m2,LWC_percent,species,site_revised,tavg,dnrg,isot,tsea,tmax,tmin,trng,twet,tdry,twrm,tcld,prec,pwmt,pdmt,psea,pwet,pdry,pwrm,pcld,soilN,soilP,soilC,alpha,tavg_recent_year,tmax_recent_year,prec_recent_year,VPD_recent_year,tavg_recent_month,tmax_recent_month,prec_recent_month,VPD_recent_month,leaf_rad,species_confirmed.x,gap_mean,gap_SE,leafrad_mean,leafrad_SE,LMA_mean,LMA_SE,ID
KG022,-33.69,151.15,old,1,16.69332314,67.92875,341.8124596,49.89839556,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,11.3395657424628,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG023,-33.69,151.15,mid,1,16.69332314,77.789375,339.416026,49.41857824,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,12.9856317373364,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG024,-33.69,151.15,new,1,16.69332314,87.65,330.7773543,49.71425416,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,14.63169773221,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG036,-33.69,151.15,old,1,16.69332314,73.4235,258.7792695,44.31919092,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,12.2568221156979,corgum,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466,corgum_46
KG037,-33.69,151.15,mid,1,16.69332314,84.08175,255.1901209,46.83321605,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,14.0360382292669,corgum,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466,corgum_46
KG038,-33.69,151.15,new,1,16.69332314,94.74,247.2023881,51.07406973,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,15.815254342836,corgum,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466,corgum_46
KG049,-33.69,151.15,old,2,16.69332314,70.1375,330.0286578,46.28538417,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,11.7082795173175,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG050,-33.69,151.15,mid,2,16.69332314,80.31875,351.0122887,48.68812898,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,13.4078684795087,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG051,-33.69,151.15,new,2,16.69332314,90.5,313.005655,50.29513328,euchae,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,15.1074574417,euchae,78.9312916666667,2.91218416280466,13.1762555764926,0.486140312728886,335.762002822222,4.24431586460682,euchae_64
KG077,-33.69,151.15,old,2,16.69332314,51.4445,269.3508576,45.97066313,corgum,NSW_Kuringai_top,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,0.216358468,0.026586514,3.265124083,1.00773682406977,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,8.5877966227573,corgum,74.6239583333333,4.82355408269828,12.4589421278835,0.805529916517937,262.558242655556,2.87414676108466,corgum_46
