sample,leaf_age,site_revised,species_confirmed,biological_rep,date,d13C,soil_P,soil_S,soil_N,soil_C,leaf_Narea_mean,mg_Cl_a_per_m2,mg_Cl_b_per_m2,mg_Cl_total_per_m2,irradiance,gap,leaf_P,leaf_N,leaf_C,Amax,Cond,Ci,LMA_g_per_m2,LWC_percent,tavg,dnrg,isot,tsea,tmax,tmin,trng,twet,tdry,twrm,tcld,prec,pwmt,pdmt,psea,pwet,pdry,pwrm,pcld,alpha,tavg_recent_year,tmax_recent_year,prec_recent_year,VPD_recent_year,tavg_recent_month,tmax_recent_month,prec_recent_month,VPD_recent_month,leaf_N_per_area,leaf_P_per_area,leaf_rad,gap_mean,leafrad_mean,LMA_mean,species,ID,Latitude,Longitude
KG022,old,NSW_Kuringai_top,euchae,1,140603,-28.36,111.418,170.871,0.06638,2.3125,3389.296424,598.3234669,107.3029954,705.6264623,16.69332314,67.92875,347.238,0.931,54.9345,24.50345179,0.241820757,1572.715625,341.8124596,49.89839556,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3182.273999,1186902.748,11.33956574,78.93129167,13.17625558,335.7620028,Eucalyptus haemastoma,euchae_64,-33.6933,151.14541
KG023,mid,NSW_Kuringai_top,euchae,1,140603,-28.36,111.418,170.871,0.06638,2.3125,3389.296424,791.500774,150.6641216,942.1648955,16.69332314,77.789375,191.899,0.973,56.4243,25.06170337,0.191175732,1521.95431,339.416026,49.41857824,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3302.517933,651335.9597,12.98563174,78.93129167,13.17625558,335.7620028,Eucalyptus haemastoma,euchae_64,-33.6933,151.14541
KG024,new,NSW_Kuringai_top,euchae,1,140603,-28.36,111.418,170.871,0.06638,2.3125,3389.296424,793.8001125,144.234683,938.0347955,16.69332314,87.65,308.653,0.9855,56.256,22.33737051,0.258935301,1593.844581,330.7773543,49.71425416,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3259.810827,1020954.227,14.63169773,78.93129167,13.17625558,335.7620028,Eucalyptus haemastoma,euchae_64,-33.6933,151.14541
KG036,old,NSW_Kuringai_top,corgum,1,140604,-29.17,110.805,244.483,0.12279,4.9305,2316.998689,544.2225953,109.537659,653.7602543,16.69332314,73.4235,294.505,0.7969,53.1239,22.43471827,0.176282903,1507.206459,258.7792695,44.31919092,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,2062.211999,762117.8876,12.25682212,74.62395833,12.45894213,262.5582427,Corymbia gummifera,corgum_46,-33.6933,151.14541
KG037,mid,NSW_Kuringai_top,corgum,1,140604,-29.17,110.805,244.483,0.12279,4.9305,2316.998689,1284.619656,256.0843532,1540.70401,16.69332314,84.08175,182.361,0.9089,53.6846,26.94750735,0.221399344,1518.559016,255.1901209,46.83321605,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,2319.423009,465367.2564,14.03603823,74.62395833,12.45894213,262.5582427,Corymbia gummifera,corgum_46,-33.6933,151.14541
KG038,new,NSW_Kuringai_top,corgum,1,140604,-29.17,110.805,244.483,0.12279,4.9305,2316.998689,901.5381771,188.9692085,1090.507386,16.69332314,94.74,305.216,0.809,53.9001,26.62461728,0.15257026,1441.662237,247.2023881,51.07406973,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,1999.86732,754501.2409,15.81525434,74.62395833,12.45894213,262.5582427,Corymbia gummifera,corgum_46,-33.6933,151.14541
KG049,old,NSW_Kuringai_top,euchae,2,140604,-29.33,111.418,170.871,0.06638,2.3125,3389.296424,460.5899409,99.72134652,560.3112874,16.69332314,70.1375,363.964,0.9345,55.9136,17.46842628,0.320606041,1652.161626,330.0286578,46.28538417,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3084.117807,1201185.504,11.70827952,78.93129167,13.17625558,335.7620028,Eucalyptus haemastoma,euchae_64,-33.6933,151.14541
KG050,mid,NSW_Kuringai_top,euchae,2,140604,-29.33,111.418,170.871,0.06638,2.3125,3389.296424,1014.958593,214.3767078,1229.335301,16.69332314,80.31875,243.317,0.9029,55.4619,17.16627231,0.317774091,1651.370641,351.0122887,48.68812898,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3169.289955,854072.5705,13.40786848,78.93129167,13.17625558,335.7620028,Eucalyptus haemastoma,euchae_64,-33.6933,151.14541
KG051,new,NSW_Kuringai_top,euchae,2,140604,-29.33,111.418,170.871,0.06638,2.3125,3389.296424,470.5181321,108.0084708,578.5266029,16.69332314,90.5,345.22,1.1374,56.827,25.67937226,0.372417423,1617.907774,313.005655,50.29513328,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3560.12632,1080558.122,15.10745744,78.93129167,13.17625558,335.7620028,Eucalyptus haemastoma,euchae_64,-33.6933,151.14541
KG077,old,NSW_Kuringai_top,corgum,2,140611,-27.02,110.805,244.483,0.12279,4.9305,2316.998689,754.5694731,156.9376034,911.5070765,16.69332314,51.4445,291.22,0.7775,52.2608,23.03285074,0.099159477,1334.965035,269.3508576,45.97066313,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,2094.202918,784403.5675,8.587796623,74.62395833,12.45894213,262.5582427,Corymbia gummifera,corgum_46,-33.6933,151.14541
KG078,mid,NSW_Kuringai_top,corgum,2,140611,-27.02,110.805,244.483,0.12279,4.9305,2316.998689,488.1823182,108.9435396,597.1258578,16.69332314,58.91225,180.302,0.8056,53.231,28.45559555,0.154969027,1401.016386,266.319416,51.47066081,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,2145.469215,480179.2334,9.834412262,74.62395833,12.45894213,262.5582427,Corymbia gummifera,corgum_46,-33.6933,151.14541
KG079,new,NSW_Kuringai_top,corgum,2,140611,-27.02,110.805,244.483,0.12279,4.9305,2316.998689,748.5008996,149.3159629,897.8168625,16.69332314,66.38,307.215,0.8951,53.266,34.05460812,0.188742639,1385.474682,272.0656656,51.02663773,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,2435.259773,835826.5346,11.0810279,74.62395833,12.45894213,262.5582427,Corymbia gummifera,corgum_46,-33.6933,151.14541
KG081,old,NSW_Kuringai_top,euchae,3,140611,-27.17,111.418,170.871,0.06638,2.3125,3389.296424,534.3158152,105.207571,639.5233863,16.69332314,68.7115,351.36,1.031,54.6752,NA,NA,NA,352.8785326,48.38692223,17.2344532,10.21437263,48.46121216,398.6832275,27.11291313,6.035493374,21.07741928,21.69588089,12.95351028,21.9740181,12.0334959,1160.86853,137.1650848,59.74605942,27.55343819,392.1881409,193.2326508,335.3433228,225.5292053,1.007736824,20.34308106,25.34697297,369.4000002,-7.514353504,16.24749993,22.06066659,12.80000011,-5.480267331,3638.177671,1239874.012,11.47023273,78.93129167,13.17625558,335.7620028,Eucalyptus haemastoma,euchae_64,-33.6933,151.14541
