depvar,proportional,indepvar,minval,maxval,change,pval,R2
phot_mean,TRUE,prec,0.124249425440438,0.199754315325851,0.607688040550404,0,0.288
phot_mean,TRUE,tavg,0.163352795365644,0.163796948789711,0.00271898269676357,0.98,0
phot_mean,TRUE,gap_mean,0.20686852026492,0.135292349410624,-0.345998370185248,0,0.39
phot_mean,TRUE,leafrad_mean,0.187744763198944,0.126718658179542,-0.325048240918103,0,0.318
phot_mean,TRUE,LMA_mean,0.194031802011993,0.136101697483487,-0.298559843942104,0.01,0.209
phot_mean,FALSE,prec,4744.21754424284,4495.09784836199,-0.0525101755047395,0.81,0.002
phot_mean,FALSE,tavg,6275.63601105857,3389.17403682891,-0.459947321537339,0,0.343
phot_mean,FALSE,gap_mean,5352.15300486224,4131.42966981733,-0.22808079924769,0.14,0.062
phot_mean,FALSE,leafrad_mean,5485.58823933955,3282.77506638272,-0.401563711464796,0,0.228
phot_mean,FALSE,LMA_mean,3967.8786457412,5198.85839097479,0.310236238337286,0.18,0.052
calv_mean,TRUE,prec,0.356947651337437,0.329684257549658,-0.0763792496900503,0.1,0.076
calv_mean,TRUE,tavg,0.332758895781856,0.350093806567654,0.0520945074813644,0.21,0.046
calv_mean,TRUE,gap_mean,0.327794924793839,0.35251550781422,0.0754147826905167,0.07,0.094
calv_mean,TRUE,leafrad_mean,0.330604423544412,0.361277434878082,0.0927785871853265,0.01,0.163
calv_mean,TRUE,LMA_mean,0.338687911065004,0.346395733583068,0.022757890867219,0.61,0.008
calv_mean,FALSE,prec,12374.5594546702,7838.751058983,-0.366543020161851,0.01,0.166
calv_mean,FALSE,tavg,13443.6353877259,7477.96639201365,-0.443754150098338,0,0.424
calv_mean,FALSE,gap_mean,9525.97274178005,10327.0614334869,0.084095211420595,0.61,0.008
calv_mean,FALSE,leafrad_mean,10629.2484018882,9063.9120728773,-0.147266887537678,0.29,0.033
calv_mean,FALSE,LMA_mean,7296.21871616326,12463.8899648893,0.708267042115688,0,0.266
total_protein_mean,TRUE,prec,34819.9896151339,23122.128009243,-0.335952472564972,0.02,0.14
total_protein_mean,TRUE,tavg,39115.3216618417,21057.2633169245,-0.461662018301473,0,0.494
total_protein_mean,TRUE,gap_mean,27749.2699679205,29358.9655520484,0.058008574135058,0.71,0.004
total_protein_mean,TRUE,leafrad_mean,30972.6332951203,25282.5510683848,-0.183713221039943,0.16,0.056
total_protein_mean,TRUE,LMA_mean,20700.8306608684,35974.490330945,0.737828347098601,0,0.296
total_protein_mean,FALSE,prec,34819.9896151339,23122.128009243,-0.335952472564972,0.02,0.14
total_protein_mean,FALSE,tavg,39115.3216618417,21057.2633169245,-0.461662018301473,0,0.494
total_protein_mean,FALSE,gap_mean,27749.2699679205,29358.9655520484,0.058008574135058,0.71,0.004
total_protein_mean,FALSE,leafrad_mean,30972.6332951203,25282.5510683848,-0.183713221039943,0.16,0.056
total_protein_mean,FALSE,LMA_mean,20700.8306608684,35974.490330945,0.737828347098601,0,0.296
