submodel,R2,pval,p.adj
protein,0.139,0,0
Cytochrome_b6f,0.092,0,0
signalling,0.083,0,0
redox,0.082,0,0
Photorespiration,0.067,0,0
HSPs,0.063,0,0
electron_transport_minATPsynth,0.062,0,0
protein_folding,0.059,0,0
total_protein,0.049,0,0
mitochondrial_electron_transport_ATP_synthesis,0.048,0,0
lipid_metabolism,0.034,0,0
TCA_org_transformation,0.022,0.01,0.021538
ATP_synthase_chloroplastic,0.022,0.01,0.021538
abiotic_stress,0.017,0.02,0.037333
RNA,0.017,0.02,0.037333
Calvin_cycle,0.015,0.04,0.065882
DNA,0.014,0.04,0.065882
biotic_stress,0.007,0.14,0.21778
Rubisco,0.007,0.16,0.23579
polyamine_metabolism,0.006,0.2,0.26667
PSI,0.006,0.19,0.266
Photosystems,0.005,0.25,0.31652
PSII,0.004,0.28,0.32667
hormone_metabolism,0.004,0.26,0.31652
stress,0.003,0.34,0.3808
secondary_metabolism,0.002,0.44,0.47385
glycolysis,0,0.93,0.93
Light_reactions,0,0.73,0.75704
