treatment,CV_protein_per_DW_fractions,CV_protein_per_area_fractions,N_fractions,CV_protein_per_area_ovalb,N_ovalb
1 home acam,0.125270708772098,0.117916663197526,3,0.205836042081465,3
1 home bot,0.361000638407953,0.193837010343083,3,0.121678150303795,3
1 home bter,0.13500663404196,0.073952942388956,3,0.0601446165063887,3
1 home smit,0.231198095287315,0.206201655789209,3,0.150274401812239,3
1 warm acam,0.227060738432083,0.128717659095271,3,0.0654982154140774,3
1 warm bot,0.360492265852379,0.309866978355616,3,0.232694018407248,3
1 warm bter,0.21371284081878,0.215302288157605,3,0.123995040239326,3
1 warm smit,0.421615441186312,0.206869438408701,2,0.050980664383051,2
14 home acam,0.232675173484361,0.167610959423422,3,0.0452286047320681,3
14 home bot,0.532809163685266,0.5222377320271,3,0.283941957883015,3
14 home bter,0.0787976705110252,0.156745922816143,3,0.0667267147148662,3
14 home smit,0.271375581641124,0.226820080740217,3,0.15403473309557,3
14 warm acam,0.0826774607265743,0.0738643219289487,3,0.146044063074397,3
14 warm bot,0.296007431884964,0.121297161903152,3,0.0519054131785467,3
14 warm bter,0.271971344746506,0.339225767486198,3,0.171995534734116,3
14 warm smit,0.108097476616517,0.0175569326640214,2,0.0617038440486468,2
7 home acam,0.144746712521144,0.179144988876463,3,0.0214752150850664,3
7 home bot,0.0543160153574581,0.102419689060715,3,0.206950075266174,3
7 home bter,0.43432900005414,0.312832977728607,3,0.124053868638502,3
7 home smit,0.136425670614815,0.0831721709535392,3,0.0685646336408979,3
7 warm acam,0.0549155802968433,0.0533409194644642,3,0.037733582709376,3
7 warm bot,0.0385066436848757,0.00750827922462147,2,0.134135727960342,2
7 warm bter,0.140513135701636,0.15801259164168,3,0.144600924403903,3
7 warm smit,0.38809247308402,0.254775368418888,2,0.0763357595145525,2
9 home acam,0.272117854022352,0.275128011303444,3,0.293306113939728,3
9 home bot,0.0838264015536865,0.15748521564488,3,0.277468831366129,3
9 home bter,0.109362123749235,0.263769902977529,3,0.236351642497995,3
9 home smit,0.0589261802223262,0.070203273327758,3,0.0656959628773925,3
9 warm acam,0.0771662530495461,0.127353921328266,3,0.120123051463788,3
9 warm bot,0.204023809922785,0.181924388032303,3,0.180195679766196,3
9 warm bter,0.292608646277248,0.247671260083895,3,0.161722953832297,3
9 warm smit,0.0471904811827989,0.0961624551481662,2,0.00591566204097305,2
