Protein,14acam11,14acam25,14acam27,14acam28,14acam7,14acam8,14bot2,14bot24,14bot27,14bot30,14bot6,14bot7,14bter2,14bter21,14bter29,14bter30,14bter6,14bter7,14smit11,14smit2,14smit22,14smit28,14smit9,1acam11,1acam25,1acam27,1acam28,1acam7,1acam8,1bot2,1bot24,1bot27,1bot30,1bot6,1bot7,1bter2,1bter21,1bter29,1bter30,1bter6,1bter7,1smit11,1smit2,1smit22,1smit28,1smit9,7acam11,7acam25,7acam27,7acam28,7acam7,7acam8,7bot2,7bot27,7bot30,7bot6,7bot7,7bter2,7bter21,7bter29,7bter30,7bter6,7bter7,7smit11,7smit2,7smit22,7smit28,7smit9,9acam11,9acam25,9acam27,9acam28,9acam7,9acam8,9bot2,9bot24,9bot27,9bot30,9bot6,9bot7,9bter2,9bter21,9bter29,9bter30,9bter6,9bter7,9smit11,9smit2,9smit22,9smit28,9smit9
Eucgr.A00010.2.p,0.00345224378744518,0.00323371693208884,0.00247470732550726,0.00243749598917751,0.00276974039737543,0.00316648447698399,0.00187291889948573,0.00191445081942663,0.00154626990396207,0.00218277184668347,0.00384516818450633,0.00144963734823466,0.00193551728085784,0.0016397937896068,0.00130837389164059,0.00138742026547421,0.00203009006351911,0.00211338483822882,0.00274213644456719,0.00313522760093157,0.00317583939138754,0.00235596172035901,0.00290132919388513,0.00349554944031632,0.00326065929238235,0.00361576469037083,0.00405569873103813,0.00294049276022516,0.00622970040673552,0.00392351403854758,0.00259257903850956,0.00239581399261231,0.00166277785144311,0.00366460554902149,0.00181611101888833,0.00298975163264136,0.00212303592547809,0.00161193914176598,0.00127940983943379,0.00393235231816797,0.0035687239451509,0.0047477700161123,0.00404256314827204,0.00263183290475759,0.00476158295242931,0.00472733434554019,0.00379770788051365,0.00369924316035029,0.00413552002768298,0.00373366154538446,0.00387914268709832,0.00359470699902186,0.00252167592416431,0.00180362042389795,0.00162120725923234,0.0057086399766585,0.00173759578021921,0.00263993026086434,0.00240169565938426,0.00200764059536701,0.00202064597004815,0.00244013619735799,0.00214928691450746,0.00436812947523945,0.00530862499434158,0.00229289187227384,0.00393028516497566,0.003789489849276,0.00352637602548179,0.00337805341361535,0.00424041425251504,0.00292012177587732,0.00342989249638301,0.00283075695794397,0.00303872816937347,0.00111755897807497,0.00163651062356158,0.00202755676316418,0.00422156473752892,0.00197852437068005,0.00271977242261154,0.00299628979579853,0.00222216518393755,0.00230435113266169,0.00255686756588564,0.0025220574360558,0.00326302921314289,0.00428415999152656,0.00166413104779642,0.00230516854238721,0.00441990977867546
Eucgr.A00018.2.p,0.0163214238627633,0.0138618422811537,0.0130984565941559,0.0108741839800112,0.0118811153928572,0.0140460372689396,0.0103641236894589,0.00987262696301123,0.00626904187737355,0.00852091393451823,0.0121489846596568,0.00687640696081692,0.00980658103657701,0.00581755665289467,0.00569648166494095,0.00498289965205335,0.00612290964590587,0.00976642427896222,0.0156370265597202,0.0128926948076013,0.0149110917172248,0.013787684627762,0.0134202154402905,0.0156614482886784,0.0158007684533006,0.0158164543439669,0.0171058825511532,0.0152933241179155,0.0224573257197133,0.0173590851093591,0.0116633545790369,0.0117405725625944,0.00909508696420975,0.0106985578101335,0.0117674440372965,0.0141279327624409,0.00748820433134287,0.00858629604150586,0.00530846606478792,0.00797407370927901,0.0132481500540829,0.0197751064016415,0.015178096094252,0.0125789264423341,0.0217971647932121,0.018052997527453,0.0174646102084252,0.0131701395195984,0.0153451834890338,0.0150530715201558,0.0161602456327066,0.015268193502707,0.0147724662675801,0.00946076886652764,0.00829119486614148,0.0142592335236461,0.0100242022851156,0.0114980414332262,0.00676896496216799,0.00824679244493109,0.00696748665160673,0.0046130339387386,0.00808712561209312,0.0186772390916624,0.0170371781274967,0.0109923905470898,0.0173789072806557,0.0155661446251386,0.0163834199357404,0.0156145404728187,0.0148528242605794,0.0134282121367723,0.0128532583319733,0.0122966692756187,0.0121600024374185,0.00534315258719326,0.00618637682711641,0.00990981067354244,0.0127011135268776,0.00860646046126534,0.012749413819181,0.00737633491156703,0.00963704695849793,0.00654947003253433,0.00541076526097946,0.00921347291111351,0.0147422160802139,0.0120103073988214,0.00831747373330471,0.0125366119860966,0.0162440707052024
Eucgr.A00095.1.p,0.0797827127220948,0.0477286255309706,0.0470532787519751,0.0508538509359834,0.0652483105943764,0.07943490176542,0.0372628884507904,0.0542409595266467,0.0312492927928776,0.0350370897315062,0.0575646777188715,0.0495028803824728,0.044672014885888,0.0319902698312592,0.023119153191245,0.0313411370031364,0.0779548128541623,0.094160490009468,0.0283839891834126,0.0573739346770185,0.0528504679872034,0.0371084024342184,0.0977998339014575,0.0852082184557785,0.0693102640159667,0.0691268581897599,0.0779778600787008,0.0807612150523211,0.0997864607149789,0.0788523091775011,0.0528319175965934,0.0266081985963602,0.0252307769136796,0.0510527966148729,0.0615186563850863,0.0707904524721626,0.0426672892478122,0.0426073577676882,0.0399611380517782,0.121158692225353,0.11120957220305,0.0693424895983054,0.0737798612029902,0.0464497270900705,0.0814153400517042,0.111587146699373,0.0801847824982685,0.0524827907679182,0.0632413064869699,0.0644845640579373,0.100520074639689,0.069956836218384,0.0530499536944911,0.0271966612762789,0.0376585025533111,0.0640426865066597,0.0654480510166364,0.0321275158272353,0.04432663561543,0.0414909653271408,0.0321512442335257,0.058633179256696,0.0841690877123381,0.0660368329795148,0.0756477332925268,0.0426668327234651,0.0541020373925063,0.0716980076387449,0.0813364187137318,0.0557566265435898,0.0573362129056916,0.0617300101744453,0.0705264128391874,0.0703586609904604,0.0596013243420157,0.028254970718174,0.0339545037900975,0.0291990736361658,0.0404573422949912,0.0642634153800131,0.0674968481603952,0.0597251953186463,0.052632552767964,0.0435981284608089,0.0849652779196181,0.0786248871863259,0.106681331923562,0.053503216613794,0.0396382807119068,0.038070381175254,0.092756345160357
Eucgr.A00131.1.p,0.000759073206638388,0.00075309309829239,0.000171602084271243,0.000358411698585779,9.22411417283445e-05,5.93197536470229e-05,0.00049175906316636,0.000505191546813992,0.000560176002159743,0.000443443608052668,0.00104296953638099,0.000562812571782433,0.000242603847987813,0.000460957686123175,0.00019028469563252,0.000695118889105839,0.000111202168422114,0.00025942941838967,0.000393288291901617,0.000728113930164532,0.000348202438562696,0.000634711093611015,0.000506287322736737,0.000460981742682367,0.000600437321858486,0.000105118448006946,0.00029218711918188,0.000674985260426481,0.000313162098700434,0.000765610838370611,0.000688782837176886,0.000959606788105611,0.000390718094736431,0.00168879481323732,0.00117896334900554,0.000550452145195996,0.000282476064080958,0.000351030590105905,0.000420874300343276,0.000405803215020524,0.00036224555464837,0.000638005763706282,0.000629816246424029,0.000297352655571035,0.00027792773788769,0.00156410003299494,0.000645991142198086,0.000676107092306587,0.00019683313312406,5.37654072491805e-05,0.000141952659837682,0.00028406031017385,0.000737689115834373,0.000502838471198096,0.000792374298659806,0.00116071970020941,0.000838798456251229,0.000315623137327544,0.000621840285290113,0.000361212677796124,0.000927165115116854,0.000203680399098801,0.000290234160629584,0.000910515844733649,0.000185530288273481,8.67825014189829e-05,0.000514707602930798,0.000828707367431235,0.000585504730147357,0.000425964760659109,0.000201128422703659,7.88946738825615e-05,0.00039055638209932,0.00032088484352212,0.000665234782447027,0.000689757083457758,0.000429887228603132,0.000688440546085805,0.00152280441791341,0.000532957957377272,0.000258025577506936,0.000608926692907529,0.000317535282426009,0.000586251976638579,3.87182409770936e-05,0.00029023834757606,0.000379589733023209,0.000888389497413068,1.96512141606742e-05,0.000570501736417773,0.00116183715906511
Eucgr.A00188.1.p,0.0094468269964057,0.00454205581048789,0.00329315269758359,0.0108315017048911,0.00562454377769222,0.00865502602558746,0.0373056876673107,0.0248883469349538,0.00778467998986962,0.0204765022307313,0.0189214109482317,0.0117193299577508,0.0183001835160204,0.0134471230346675,0.00833882271946091,0.0115326676848588,0.0208972845328228,0.0124620786222194,0.00485178891502566,0.0185404419259741,0.0265655041918735,0.0203375261063006,0.01280434333889,0.011755505499994,0.00580430933845731,0.00369601117042911,0.00968803718016954,0.0217438584729942,0.0201220825690168,0.053337664768187,0.022874023391213,0.00903620193728001,0.0111726730625468,0.0317997936426246,0.0249987849387337,0.0349358611580973,0.014883752783827,0.0120815788463928,0.0163861371375322,0.0249956022131756,0.0377142880034285,0.0131532066193729,0.0192723352322611,0.0247700314030374,0.0145601805179667,0.0256990585548226,0.00469756269277935,0.00570192757092221,0.00297218827908237,0.0126180640950294,0.00296532415183099,0.00434295357525477,0.0337604564017073,0.0100582336354353,0.0158268030762534,0.0108986491010318,0.0136298008791577,0.0158620709392959,0.00976087794978708,0.00814824365108527,0.011609988296929,0.0166203709419446,0.00967654851231234,0.0106476167136873,0.0171327257020155,0.0182382391323788,0.0144355688219567,0.019574719443873,0.0162466654943772,0.0146378096132457,0.00291629478448034,0.00882835564038168,0.00679534235403289,0.00238862334953479,0.0422329699908321,0.0107314627151411,0.0081816994702901,0.0141708826355062,0.00938458261690994,0.0149534700841014,0.0132882268695212,0.0123118933691713,0.00849686890628729,0.00749960779245576,0.0157931960349543,0.0113927339693287,0.00762092260280969,0.0115407582920846,0.0140054715203816,0.0162901151351107,0.0231098632739755
Eucgr.A00248.1.p,0.00862699086792476,0.00738966021155289,0.00831174576414391,0.00942989163758401,0.00433044605775458,0.0100069440259431,0.00492159850632378,0.00787440482649519,0.00427919975696536,0.00269262849388394,0.00372958578754365,0.00291137784843655,0.00144252467711454,0.00339306222189412,0.00205413534520215,0.00198866155633596,0.00557891998725632,0.0133189528557212,0.00727837658804456,0.0106219527302049,0.0103396896352545,0.00418551993785221,0.00916043684815234,0.00714186208743674,0.0120541322575373,0.00641377344720852,0.0113962844070065,0.00678973242841565,0.0142718041978409,0.0256597155363465,0.0113131152702893,0.00582925371739882,0.00320105081781783,0.00393708576717666,0.00514697091017515,0.00348382846938394,0.00646264666557153,0.00326548522842205,0.00283515205256163,0.0126854054590513,0.0155714982589364,0.0229286831589418,0.0207514397504641,0.00990668184558183,0.0199643144087967,0.0196406092995405,0.00382989033719332,0.00813320072170808,0.00810515583986147,0.00798062436712562,0.0078778122390593,0.0139945977592633,0.00348289520794199,0.0022737006226869,0.00191859121657245,0.00400438204141324,0.00341768125417295,0.00114846400131111,0.00220173680231879,0.00167668328319798,0.00123737910300583,0.00461546336102559,0.00697298387344808,0.00995796896220859,0.0142641360393481,0.00794922337731318,0.00741522021879071,0.0101077153043872,0.00476743174978939,0.0111612537798409,0.0094127868554876,0.00797963746413102,0.00623778114143756,0.00904173014951522,0.00536269953135955,0.00240502687956628,0.00388647069176468,0.00122086781406575,0.00259265086664228,0.00260956429118472,0.00174869712049447,0.00774743231874882,0.00280114159296213,0.00254983568621435,0.00897551647292664,0.0167549096311855,0.0126748458658105,0.00771362581103034,0.00865669990068177,0.0032135750117889,0.00937009171080888
Eucgr.A00249.1.p,0.00854762056305021,0.0144760930802376,0.0102916052614399,0.00657235610067458,0.00621222953050482,0.0139490218569567,0.00671344800712735,0.00724469643171325,0.00932830891267018,0.00324938363648201,0.00788206546629552,0.0050960330079724,0.00361044317602796,0.00411995061382736,0.00173514628116051,0.00253188487936411,0.0160050714328102,0.0165479026936585,0.00788262856833387,0.0264030842096977,0.0116242526542548,0.00789445296874393,0.0212479286714539,0.00849358788056665,0.0128527347827788,0.0134795487476769,0.0108835057583475,0.0138957745850903,0.0203329842740537,0.0202303063851625,0.0106491060185998,0.00854639324799468,0.00399204445757599,0.0149618860564657,0.0132557369253854,0.0101302100332008,0.00696614221518447,0.00638840148123875,0.00461304201145056,0.0268720595827803,0.0253598284983479,0.026469675302805,0.0352782731610123,0.0130767733993037,0.0255907600331367,0.0242221266403358,0.00907400103786837,0.0098608449707328,0.0142326602358663,0.00662927228609417,0.0109753994004452,0.0137994477107907,0.00572205975836763,0.00514794723793717,0.00160108259744859,0.00937572583221965,0.00391002780227205,0.00226679881976843,0.00324744607281823,0.00258618346541737,0.00247908228099776,0.00761407038245006,0.0108510669556626,0.0103405373928846,0.0148787519745794,0.0078949791716952,0.00872469473193674,0.010153196805699,0.0104408202582209,0.0106022354130522,0.0131529041720951,0.00728758344196094,0.00955992796545985,0.0271249164271535,0.00772251926802691,0.00230198785268711,0.00618092749005773,0.00178870783411506,0.0061543587919019,0.00326618158116869,0.00420575363270897,0.00721884893768032,0.00244060248944958,0.00325914054269282,0.0131698256453353,0.0199570468014955,0.0219140883859021,0.010962425608001,0.00802668356381996,0.00840965146980278,0.015803962412905
Eucgr.A00280.1.p,0.000209956371847005,0.0013646017899316,0.00132256538955236,0.000588914162362037,0.00127831477063712,0.00138487131926135,0.0007260409112782,0.000531708026007124,0.000419398839296823,0.00071911922029564,0.000404984073032382,0.000760058251891433,0.0010940960523112,0.000305526754365496,0.000223455160469298,0.000241779734867158,0.00136656060792296,0.000545636032835642,0.00271483617199061,0.0012804400312612,0.00147347191594932,0.00157527110647629,0.00160302581258981,0.00093786746801585,0.0013973393908185,0.00161847241278674,0.00023408845286325,0.00220160073449266,0.00208680109310997,0.00232080688256839,0.0010610460453525,0.000561063614947146,0.000842220794609303,0.000708933497392147,0.00129979671203871,0.00232536111058453,0.0006735042971576,0.000579360659135901,6.03919800276416e-05,0.00150292487408049,0.00173409684173074,0.00182426256111533,0.00232745962525019,0.00106714190186052,0.0020537253835271,0.00192054419047216,0.00174333510358985,0.00234512842710668,0.00176464486948036,0.00203834039956175,0.00259365046749576,0.00189662643473338,0.00209448906245566,0.000775978674417673,0.0010002826013793,0.000983245607683725,0.00190501860976099,0.00184909364119758,0.000772070220592167,0.000633560351015116,0.000518411654802342,0.00130872508663976,0.00184071808156117,0.00417524014363057,0.00182636741990262,0.00128841547918366,0.00190074556333581,0.00281105340448675,0.00133811763208825,0.00183369580901353,0.00151803321140399,0.00171710518595396,0.00223885034026582,0.00053550008749117,0.0012544940532078,0.000651803761701778,0.000406806868039468,0.000987583367382448,0.00113874160760262,0.00102289174446705,0.00184653611177528,0.000549590487079265,0.00059226454691953,0.000780732950207048,0.00158472765347323,0.00090211457351667,0.00170462594207755,0.00170581697713535,0.000699895201590537,0.00151882571943801,0.00217415672913753
Eucgr.A00283.1.p,0.00403715959324894,0.0035302422620802,0.00406809692477444,0.00333961871076632,0.00288292637087339,0.00422691366304157,0.00449948353802771,0.00227070987599838,0.00129256123656152,0.00279430241714246,0.00358047241308189,0.00126635166579513,0.00267060559715552,0.00167038535613606,0.00209431032173713,0.00188173615208047,0.00509040696407888,0.00536641605304905,0.0029945709933592,0.00389255984254889,0.00470488702578321,0.00235905200645047,0.00382009512718129,0.00353149678426484,0.00402293860749234,0.00465178887345445,0.00347426319955541,0.00439226755947109,0.00516065695396875,0.00300441793080131,0.00197919098917146,0.00156250904783905,0.00259644989109985,0.00277546953911623,0.00258153877802136,0.00374476530957877,0.00208503270304584,0.00357841011061718,0.00168497713150662,0.00587003084145446,0.00478285912845059,0.00578982178878492,0.00252043226862524,0.00244735435503951,0.00313501611178936,0.00453256398808703,0.0058926000769988,0.00454731212097756,0.00593719742987926,0.00360635419995316,0.00491435155569215,0.00363246450988099,0.00365324907015795,0.00195956427311094,0.00236598760753202,0.00543138868207262,0.002895788417108,0.0036635761924927,0.00223338176154075,0.00444069081864121,0.00260829108774668,0.00401617052746105,0.00423104967020287,0.00472120485904161,0.0058997780423876,0.00308995856481109,0.00396314878627574,0.00486932388903602,0.00720336522389645,0.00425253292419862,0.0051961596857039,0.00366113514416182,0.00579196844770564,0.00411098713784759,0.00357838133951779,0.0015425300442775,0.00189268237500505,0.00329330754056771,0.00414467675756628,0.00238487190512422,0.00537163774217777,0.00291172429697472,0.00462185123022733,0.00284919577335625,0.00432556315937421,0.00571510114134949,0.00813642155130753,0.00513921898595304,0.00294639942413146,0.00370654605478754,0.00671093003713257
Eucgr.A00306.1.p,0.00511846520928064,0.000194462256807751,0.000979249484140318,0.00119384547767629,0.00156186160937733,0.00139612526575482,0.00109521273634848,0.000831877519590424,0.000766431374791037,0.00011409945692706,0.00549796488247348,0.000205220746728768,0.000402022086070558,0.00047003002827026,0.000574487890073078,0.000600686748505815,0.000829954220935469,0.000224700856096116,0.00582076596252617,0.00906744390801674,0.00885718357770842,0.00962089649432017,0.0210482861769596,0.00361974190785507,0.000151403537962774,0.0018758811056781,0.000292442322450862,0.00194949507635721,0.000412791001554426,0.00164812157217974,0.000264807311387214,0.000116364381543943,0.000189139096205807,0.00663489434786389,0.000667197129107529,0.000128129846268434,0.00142669873951256,0.00108351756012065,0.00039225446828808,0.000707945906111709,0.000322647435665607,0.0147320738935462,0.01253042181239,0.0156440401302052,0.0244528941216748,0.0360315467046806,0.00758418659321698,0.000180979424569554,0.00155733722259963,0.0012036716545351,0.001409663435325,0.00219363483844278,0.00331040419062432,0.00168835876726873,0.000379907468268172,0.00884790449863592,0.000181328155186146,0.00104161326517624,0.000830050809458264,0.00122086880871441,0.000661605884966204,0.000922030344693947,0.00053120005993646,0.00838112148887679,0.00674374261504041,0.00811743998826369,0.016377665821072,0.0133686542797316,0.00688113437803887,0.000129201586370132,0.00172714459179849,0.00141669245526208,0.00154810037521238,0.00226253336604933,0.00235168067203726,0.00102308462701277,0.00154848194368076,0.000300522510921823,0.00696525366940216,0.000381874816387335,0.0016572091181668,0.000921548150838566,0.00109511284047743,0.000784760963165145,0.000892038300872366,0.000241129943608297,0.0162064879061386,0.0075649954783869,0.0101225475799977,0.013029967252974,0.0178707393847939
