n,total_protein,photorespiration,calvin_cycle,Rubisco,Photosystems,ATP_synthase_chloroplastic,protein,stress,other
1,0.0851530578878296,0,0,1,0,0,0,0,0
5,0.220947779394808,0,0.132179713867338,0.752103275651537,0,0.115717010481125,0,0,0
10,0.313538196458968,0,0.154540602932958,0.530000971197509,0.119121313254496,0.142753725966803,0,0,0.0535833866482336
25,0.46322168385973,0.0340026929687471,0.217367735381799,0.358738708529648,0.219220618732332,0.0966248933005108,0,0,0.0740453510869621
50,0.57811138055229,0.043792189171735,0.199545487797321,0.287445558452794,0.244717474215612,0.0842703081098404,0.0158360948198359,0.00625936049551774,0.118133526937344
75,0.64898072305794,0.0428007958063814,0.186003260903816,0.256056216658892,0.237766379349736,0.0788912152901538,0.0141067774643824,0.0203162069218096,0.164059147604829
100,0.695527279098175,0.0455532637832585,0.176313944195027,0.238920246012828,0.224283846911512,0.0736116029960873,0.0214125989113534,0.0270563444624567,0.192848152727477
200,0.798739555439139,0.0425648413051551,0.160285632240618,0.209676828291111,0.202462043812107,0.0683808981630112,0.0358886318704192,0.0277229269239828,0.253018197393596
500,0.902084649143767,0.0389195411018331,0.14287306201272,0.186966713918149,0.181775916624303,0.0609353656251639,0.0498958103897708,0.0296360314605238,0.308997558867536
1000,0.961632593068341,0.036612358080746,0.134516573419572,0.175591293730903,0.17125079302114,0.0573299478352715,0.063754339847202,0.0301537931630067,0.330790900902158
2000,0.996608004129943,0.0354223967680184,0.129898401578964,0.169429013625157,0.165555456650998,0.0553179847731953,0.0700879971754719,0.0305586653846051,0.34373008404359
1,0.0916537378211082,0,0,1,0,0,0,0,0
5,0.219603202983687,0,0.124174663632563,0.687078860027798,0,0.188746476339639,0,0,2.22044604925031e-16
10,0.309736492659911,0,0.207895879002658,0.539263545254994,0.119019305926461,0.13382126981589,0,0,-2.88657986402541e-15
25,0.482954566759096,0.040194044639631,0.21357027053912,0.345849507641052,0.243939214882646,0.0858244928383603,0,0,0.0706224694591904
50,0.603416934090832,0.0494186533097407,0.193142348388525,0.276806283831418,0.257559775456024,0.0753792801735455,0.0100250402622058,0.00829447754512541,0.129374141033416
75,0.667082894431117,0.0482365471735103,0.182183038389838,0.250388070989397,0.259326906819678,0.071602202643053,0.0126948841847663,0.02267315512854,0.152895194671217
100,0.711526213804281,0.0480446689830251,0.173689492012599,0.23474834220595,0.248170429900122,0.067129788980494,0.0192817895433634,0.02608949101922,0.182845997355226
