sample,tavg,prec,bin_arch,sum,bin_arch_name
KG022,17.2344532012939,1160.86853027344,_30,296.634457113,signalling
KG022,17.2344532012939,1160.86853027344,_20.2,604.492761359,abiotic_stress
KG022,17.2344532012939,1160.86853027344,_27,567.295289415,RNA
KG022,17.2344532012939,1160.86853027344,_1.2,1047.494038609,Photorespiration
KG022,17.2344532012939,1160.86853027344,_9,626.715491709,mitochondrial_electron_transport/ATP_synthesis
KG022,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,8579.488642814,Photosystems
KG022,17.2344532012939,1160.86853027344,NA,3124.606969943,NA
KG022,17.2344532012939,1160.86853027344,_22,1.051888318,polyamine_metabolism
KG022,17.2344532012939,1160.86853027344,_1.1.3,517.658492614,Cytochrome_b6f
KG022,17.2344532012939,1160.86853027344,_8.1,NA,NA
KG022,17.2344532012939,1160.86853027344,_1.1,268.788763406,Light_reactions
KG022,17.2344532012939,1160.86853027344,_28,238.745506543,DNA
KG022,17.2344532012939,1160.86853027344,_8.2,264.886134903,NA
KG022,17.2344532012939,1160.86853027344,_1.3.2,2204.42491762,NA
KG022,17.2344532012939,1160.86853027344,_4,806.663134627,glycolysis
KG022,17.2344532012939,1160.86853027344,_16,442.32387461,secondary_metabolism
KG022,17.2344532012939,1160.86853027344,_29.6,461.031717002,protein_folding
KG022,17.2344532012939,1160.86853027344,_1.3,4932.636749795,Calvin_cycle
KG022,17.2344532012939,1160.86853027344,_21+26.9,2039.412501647,redox
KG022,17.2344532012939,1160.86853027344,_8.1+8.2,NA,TCA/_org_transformation
KG022,17.2344532012939,1160.86853027344,_26.9,128.454648544,NA
KG022,17.2344532012939,1160.86853027344,_11,202.77341535,lipid_metabolism
KG022,17.2344532012939,1160.86853027344,_1.1.1,6650.147357659,PSII
KG022,17.2344532012939,1160.86853027344,_29,3059.500112481,protein
KG022,17.2344532012939,1160.86853027344,_21,1910.957853103,NA
KG022,17.2344532012939,1160.86853027344,_3,NA,NA
KG022,17.2344532012939,1160.86853027344,_1.1.4,3688.738726999,ATP_synthase_chloroplastic
KG022,17.2344532012939,1160.86853027344,_20.2.1,965.088449356,HSPs
KG022,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,5112.909216082,Rubisco
KG022,17.2344532012939,1160.86853027344,_2,2434.874083633,NA
KG022,17.2344532012939,1160.86853027344,_1.1.2,1929.341285155,PSI
KG022,17.2344532012939,1160.86853027344,_17,666.876439275,hormone_metabolism
KG022,17.2344532012939,1160.86853027344,_1.3.1,2908.484298462,NA
KG024,17.2344532012939,1160.86853027344,_29,2228.726107845,protein
KG024,17.2344532012939,1160.86853027344,_1.1.3,624.955655481,Cytochrome_b6f
KG024,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,6769.314067843,Photosystems
KG024,17.2344532012939,1160.86853027344,_1.1.2,1677.540890009,PSI
KG024,17.2344532012939,1160.86853027344,_21+26.9,1499.907832924,redox
KG024,17.2344532012939,1160.86853027344,_1.3.2,918.76649912,NA
KG024,17.2344532012939,1160.86853027344,_22,0.303711975,polyamine_metabolism
KG024,17.2344532012939,1160.86853027344,_29.6,375.229819564,protein_folding
KG024,17.2344532012939,1160.86853027344,_20.2,358.827662584,abiotic_stress
KG024,17.2344532012939,1160.86853027344,_21,1422.637706482,NA
KG024,17.2344532012939,1160.86853027344,_8.2,194.595032983,NA
KG024,17.2344532012939,1160.86853027344,_16,313.652089381,secondary_metabolism
KG024,17.2344532012939,1160.86853027344,_1.3,3833.222883612,Calvin_cycle
KG024,17.2344532012939,1160.86853027344,_26.9,77.270126442,NA
KG024,17.2344532012939,1160.86853027344,_27,570.616724523,RNA
KG024,17.2344532012939,1160.86853027344,_30,170.453308359,signalling
KG024,17.2344532012939,1160.86853027344,_8.1+8.2,482.215136562,TCA/_org_transformation
KG024,17.2344532012939,1160.86853027344,_17,404.935929037,hormone_metabolism
KG024,17.2344532012939,1160.86853027344,_28,152.720384625,DNA
KG024,17.2344532012939,1160.86853027344,_20.2.1,718.753744873,HSPs
KG024,17.2344532012939,1160.86853027344,_9,445.83608195,mitochondrial_electron_transport/ATP_synthesis
KG024,17.2344532012939,1160.86853027344,_1.2,818.57511811,Photorespiration
KG024,17.2344532012939,1160.86853027344,_1.1.4,2836.610393073,ATP_synthase_chloroplastic
KG024,17.2344532012939,1160.86853027344,_8.1,287.620103579,NA
KG024,17.2344532012939,1160.86853027344,NA,2666.68291897,NA
KG024,17.2344532012939,1160.86853027344,_11,133.719199136,lipid_metabolism
KG024,17.2344532012939,1160.86853027344,_1.3.1,2851.024528783,NA
KG024,17.2344532012939,1160.86853027344,_2,NA,NA
KG024,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,3769.791027903,Rubisco
KG024,17.2344532012939,1160.86853027344,_3,NA,NA
KG024,17.2344532012939,1160.86853027344,_4,612.42513792,glycolysis
KG024,17.2344532012939,1160.86853027344,_1.1.1,5091.773177834,PSII
KG024,17.2344532012939,1160.86853027344,_1.1,285.474676756,Light_reactions
KG036,17.2344532012939,1160.86853027344,_8.1,303.806874888,NA
KG036,17.2344532012939,1160.86853027344,_9,587.105455738,mitochondrial_electron_transport/ATP_synthesis
KG036,17.2344532012939,1160.86853027344,_1.3.1,6162.823674457,NA
KG036,17.2344532012939,1160.86853027344,_20.2.1,762.643454443,HSPs
KG036,17.2344532012939,1160.86853027344,_3,NA,NA
KG036,17.2344532012939,1160.86853027344,_1.2,1109.492314739,Photorespiration
KG036,17.2344532012939,1160.86853027344,_22,0.620158288,polyamine_metabolism
KG036,17.2344532012939,1160.86853027344,_16,344.743830877,secondary_metabolism
KG036,17.2344532012939,1160.86853027344,_1.3.1+1.3.2,8316.165509957,Rubisco
KG036,17.2344532012939,1160.86853027344,_1.1.1+1.1.2,12292.853893078,Photosystems
KG036,17.2344532012939,1160.86853027344,_1.1,384.251541752,Light_reactions
KG036,17.2344532012939,1160.86853027344,_1.1.1,9723.943708687,PSII
KG036,17.2344532012939,1160.86853027344,_21+26.9,1505.769723633,redox
KG036,17.2344532012939,1160.86853027344,_4,713.545874398,glycolysis
KG036,17.2344532012939,1160.86853027344,_29,2191.554857932,protein
