species_confirmed,Latitude,Longitude,sample,leaf_age,biological_rep,site_revised,date,ID
aca_sp,-32.96,146.16,RH039,old,3,NSW_Round_Hill,150405,aca_sp_1
aca_sp,-32.96,146.16,RH035,mid,2,NSW_Round_Hill,150405,aca_sp_1
aca_sp,-32.96,146.16,RH034,new,2,NSW_Round_Hill,150405,aca_sp_1
aca_sp,-32.96,146.16,RH031,new,1,NSW_Round_Hill,150405,aca_sp_1
aca_sp,-32.96,146.16,RH040,mid,1,NSW_Round_Hill,150405,aca_sp_1
aca_sp,-32.96,146.16,RH037,new,3,NSW_Round_Hill,150405,aca_sp_1
aca_sp,-32.96,146.16,RH041,old,1,NSW_Round_Hill,150405,aca_sp_1
aca_sp,-32.96,146.16,RH038,mid,3,NSW_Round_Hill,150405,aca_sp_1
aca_sp,-32.96,146.16,RH036,old,2,NSW_Round_Hill,150405,aca_sp_1
acaane,-32.96,146.16,RH021,old,3,NSW_Round_Hill,150405,acaane_2
acaane,-32.96,146.16,RH015,old,1,NSW_Round_Hill,150405,acaane_2
acaane,-32.96,146.16,RH014,mid,1,NSW_Round_Hill,150405,acaane_2
acaane,-32.96,146.16,RH019,new,3,NSW_Round_Hill,150405,acaane_2
acaane,-32.96,146.16,RH013,new,1,NSW_Round_Hill,150405,acaane_2
acaane,-32.96,146.16,RH018,old,2,NSW_Round_Hill,150405,acaane_2
acaane,-32.96,146.16,RH017,mid,2,NSW_Round_Hill,150405,acaane_2
acaane,-32.96,146.16,RH016,new,2,NSW_Round_Hill,150405,acaane_2
acaane,-32.96,146.16,RH020,mid,3,NSW_Round_Hill,150405,acaane_2
acabin,-32.78,150.93,YG090,new,1,NSW_Yengo_N,140525,acabin_3
acabin,-32.78,150.93,YG088,old,1,NSW_Yengo_N,140525,acabin_3
acabin,-32.78,150.93,YG089,mid,1,NSW_Yengo_N,140525,acabin_3
acabin,-32.78,150.93,YG087,sen,1,NSW_Yengo_N,140525,acabin_3
acabin,-32.78,150.93,YG105,new,2,NSW_Yengo_N,140607,acabin_3
acabin,-32.78,150.93,YG103,old,2,NSW_Yengo_N,140607,acabin_3
acabin,-32.78,150.93,YG104,mid,2,NSW_Yengo_N,140607,acabin_3
acabin,-32.78,150.93,YG102,sen,2,NSW_Yengo_N,140607,acabin_3
acabin,-32.78,150.93,YG141,new,3,NSW_Yengo_N,140608,acabin_3
acabin,-32.78,150.93,YG140,mid,3,NSW_Yengo_N,140608,acabin_3
acabin,-32.78,150.93,YG139,old,3,NSW_Yengo_N,140608,acabin_3
acabin,-32.78,150.93,YG138,sen,3,NSW_Yengo_N,140608,acabin_3
acabin,-32.78,150.93,YG158,new,4,NSW_Yengo_N,140609,acabin_3
acabin,-32.78,150.93,YG156,old,4,NSW_Yengo_N,140609,acabin_3
acabin,-32.78,150.93,YG157,mid,4,NSW_Yengo_N,140609,acabin_3
acabin,-32.78,150.93,YG155,sen,4,NSW_Yengo_N,140609,acabin_3
acacel,-17.37,145.74,QL052,old,2,QLD_Bartlefrere,150806,acacel_4
