"","submodel","R2","pval","p.adj"
"15","hormone_metabolism",0.177,0,0
"21","DNA",0.139,0,0
"3","Cytochrome_b6f",0.093,0,0
"24","RNA",0.087,0,0
"6","secondary_metabolism",0.08,0,0
"11","electron_transport_minATPsynth",0.057,0,0
"5","mitochondrial_electron_transport_ATP_synthesis",0.056,0,0
"7","protein",0.047,0,0
"14","Calvin_cycle",0.038,0,0
"16","TCA_org_transformation",0.038,0,0
"13","glycolysis",0.028,0,0
"17","Rubisco",0.028,0,0
"20","total_protein",0.028,0,0
"27","stress",0.024,0.01,0.0175
"28","ATP_synthase_chloroplastic",0.024,0.01,0.0175
"1","abiotic_stress",0.02,0.01,0.0175
"22","HSPs",0.012,0.05,0.082353
"23","PSI",0.008,0.1,0.15556
"18","polyamine_metabolism",0.007,0.14,0.20632
"4","PSII",0.006,0.16,0.224
"8","redox",0.006,0.17,0.22667
"2","lipid_metabolism",0.003,0.34,0.41391
"9","signalling",0.003,0.33,0.41391
"12","Photosystems",0.002,0.45,0.525
"10","biotic_stress",0.001,0.59,0.64615
"25","protein_folding",0.001,0.6,0.64615
"26","Light_reactions",0.001,0.63,0.65333
"19","Photorespiration",0,0.86,0.86
