species_confirmed,species_full,lineage,sample,leaf_age,biological_rep,site_revised,date,ID,Latitude,Longitude
angcos,Angophora costata,Angophora_Corymbia,KG122,mid,2,NSW_Kuringai_bottom,140613,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,KG123,new,2,NSW_Kuringai_bottom,140613,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,KG134,mid,3,NSW_Kuringai_bottom,140617,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,KG101,old,1,NSW_Kuringai_bottom,140612,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,KG133,old,3,NSW_Kuringai_bottom,140617,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,YG018,mid,1,NSW_Yengo_N,140419,angcos_32,-32.78244,150.92318
angcos,Angophora costata,Angophora_Corymbia,YG082,new,2,NSW_Yengo_N,140525,angcos_32,-32.78244,150.92318
angcos,Angophora costata,Angophora_Corymbia,YG123,old,3,NSW_Yengo_N,140608,angcos_32,-32.78244,150.92318
angcos,Angophora costata,Angophora_Corymbia,YG124,mid,3,NSW_Yengo_N,140608,angcos_32,-32.78244,150.92318
angcos,Angophora costata,Angophora_Corymbia,YG125,new,3,NSW_Yengo_N,140608,angcos_32,-32.78244,150.92318
angcos,Angophora costata,Angophora_Corymbia,KG135,new,3,NSW_Kuringai_bottom,140617,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,YG017,new,1,NSW_Yengo_N,140419,angcos_32,-32.78244,150.92318
angcos,Angophora costata,Angophora_Corymbia,KG103,new,1,NSW_Kuringai_bottom,140612,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,YG019,old,1,NSW_Yengo_N,140419,angcos_32,-32.78244,150.92318
angcos,Angophora costata,Angophora_Corymbia,KG102,mid,1,NSW_Kuringai_bottom,140612,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,KG121,old,2,NSW_Kuringai_bottom,140613,angcos_33,-33.67856,151.14825
angcos,Angophora costata,Angophora_Corymbia,YG081,mid,2,NSW_Yengo_N,140525,angcos_32,-32.78244,150.92318
angcos,Angophora costata,Angophora_Corymbia,YG080,old,2,NSW_Yengo_N,140525,angcos_32,-32.78244,150.92318
corcit,Corymbia citriodora,Angophora_Corymbia,QL319,new,3,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcit,Corymbia citriodora,Angophora_Corymbia,QL320,mid,3,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcit,Corymbia citriodora,Angophora_Corymbia,QL313,new,1,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcit,Corymbia citriodora,Angophora_Corymbia,QL314,mid,1,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcit,Corymbia citriodora,Angophora_Corymbia,QL315,old,1,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcit,Corymbia citriodora,Angophora_Corymbia,QL316,new,2,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcit,Corymbia citriodora,Angophora_Corymbia,QL317,mid,2,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcit,Corymbia citriodora,Angophora_Corymbia,QL318,old,2,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcit,Corymbia citriodora,Angophora_Corymbia,QL321,old,3,QLD_Princess_Hill,150820,corcit_43,-18.29734,145.48915
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL185,mid,3,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL186,old,3,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL175,old,2,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL184,new,3,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL170,new,1,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL171,mid,1,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL172,old,1,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL173,new,2,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corcla,Corymbia clarksoniana,Angophora_Corymbia,QL174,mid,2,QLD_Mt_Mackay,150812,corcla_44,-17.92181,146.01045
corexi,Corymbia eximia,Angophora_Corymbia,YG186,old,2,NSW_Yengo_S,140620,corexi_45,-33.045,150.68326
corexi,Corymbia eximia,Angophora_Corymbia,YG170,new,1,NSW_Yengo_S,140619,corexi_45,-33.045,150.68326
corexi,Corymbia eximia,Angophora_Corymbia,YG188,new,2,NSW_Yengo_S,140620,corexi_45,-33.045,150.68326
corexi,Corymbia eximia,Angophora_Corymbia,YG168,old,1,NSW_Yengo_S,140619,corexi_45,-33.045,150.68326
corexi,Corymbia eximia,Angophora_Corymbia,YG169,mid,1,NSW_Yengo_S,140619,corexi_45,-33.045,150.68326
corexi,Corymbia eximia,Angophora_Corymbia,YG204,new,3,NSW_Yengo_S,140623,corexi_45,-33.045,150.68326
corexi,Corymbia eximia,Angophora_Corymbia,YG202,old,3,NSW_Yengo_S,140623,corexi_45,-33.045,150.68326
corexi,Corymbia eximia,Angophora_Corymbia,YG187,mid,2,NSW_Yengo_S,140620,corexi_45,-33.045,150.68326
corexi,Corymbia eximia,Angophora_Corymbia,YG203,mid,3,NSW_Yengo_S,140623,corexi_45,-33.045,150.68326
corgum,Corymbia gummifera,Angophora_Corymbia,KG078,mid,2,NSW_Kuringai_top,140611,corgum_46,-33.6933,151.14541
corgum,Corymbia gummifera,Angophora_Corymbia,KG077,old,2,NSW_Kuringai_top,140611,corgum_46,-33.6933,151.14541
corgum,Corymbia gummifera,Angophora_Corymbia,KG037,mid,1,NSW_Kuringai_top,140604,corgum_46,-33.6933,151.14541
corgum,Corymbia gummifera,Angophora_Corymbia,KG038,new,1,NSW_Kuringai_top,140604,corgum_46,-33.6933,151.14541
