sample,Vcmax
KG022,36.9068147263674
KG023,37.4472121700229
KG024,33.2493129689677
KG036,34.6633519487528
KG037,41.1901817868123
KG038,40.3403942432519
KG049,26.0844395457158
KG050,25.1710708387857
KG051,39.1339907426848
KG077,36.9172214660856
KG078,46.8259146572606
KG079,52.4395898296959
KG101,28.1899511178811
KG102,27.3667797505861
KG103,52.6787288084199
KG105,39.5120841756604
KG106,44.4134086933587
KG107,45.143635514444
KG117,33.2874432926701
KG118,27.1669684772758
KG119,29.2525765475676
KG121,27.970973577308
KG122,47.6145702420487
KG123,40.9104249174981
KG133,17.3656872823814
KG134,42.9157911708127
KG135,42.1157198992662
KG137,24.6817179161841
KG138,48.9771200525245
KG139,38.2398332411831
KG141,41.4187682490801
KG142,43.7147781621153
KG143,46.5566350367593
QL107,29.4579835182619
QL108,27.767696494106
QL111,22.1695584059653
QL112,20.067270396564
QL114,38.2209803471331
QL115,38.2311203627363
QL116,22.1024739208467
QL131,41.1729116658295
QL132,30.2277371620295
QL136,33.7119304016144
QL137,25.6919038139144
QL138,23.9192468069868
QL170,28.6491472256335
QL171,24.6444918885951
QL172,19.7617818384615
QL173,21.3565634837667
QL174,19.1841880237996
QL175,21.1053891944162
QL184,25.1808157818867
QL185,28.6889719455289
QL186,21.4714191725409
QL228,47.7900820904309
QL230,28.2816783564989
QL231,21.8947982867065
QL233,28.2350492516751
QL234,21.8525800783646
QL237,22.9958054788477
QL238,45.7325079689867
QL239,36.7374878482731
QL241,34.8429670778962
QL242,47.4820780506457
QL243,24.8565619774599
QL313,45.8333135965328
QL314,44.5830512895212
QL451,4.30246930497233
RH117,32.8673023366301
RH118,26.2751069549851
RH119,25.3600540080891
RH120,28.3587675953573
RH121,29.8923429336658
RH122,26.2803486729913
RH123,30.9159090307266
RH124,29.6653940222133
RH125,19.4861477436613
T013,55.6934455959942
T014,67.5874854099289
T015,76.9221304294407
T017,81.1884037874669
T018,76.9841563418015
T019,46.1390288284683
T021,75.009807374236
T022,74.8516900250188
T023,88.0279188490517
T049,44.3832440738691
T050,47.9379118833591
T051,64.7296368682587
T053,33.0344030919583
T054,58.349449125573
T055,62.6044718152371
T057,45.5771185483705
T058,68.4827618952992
T059,43.9457124363076
T145,50.7616599597825
T146,59.9326611556822
T149,40.1484074093095
T150,73.4473327482075
T151,46.0221481914775
T153,48.7649134473848
T154,69.3921319550986
T155,44.5434428427382
T217,43.7428593849036
T221,33.0828744562514
T222,38.4388694948235
T223,40.0530871943633
T225,36.6788712482019
T226,38.9577983369589
T227,42.8487109553437
T241,56.2295823212074
T242,53.4299238874465
T243,68.1937188629675
T245,57.9358479286771
T246,50.2978356581372
T247,49.5888640804722
T249,37.587610659947
T250,25.4228476559349
T251,49.1754007890245
T331,33.49086479138
T332,29.9528181358235
T333,26.6552833533056
T335,39.4447038518532
T336,39.0161520452019
T337,31.4239894586361
T339,32.2439895928211
T340,43.7187467613882
T341,33.7783792809093
T372,67.0770131111686
T373,46.5637595355343
T374,49.5171981825802
T376,40.5949600667267
T377,46.0043939492719
T378,55.8493627582394
T380,37.3265294704845
T381,53.8512278665047
T382,55.5601215741031
T398,52.7656348173955
T402,60.7661899495526
T403,45.5834399602445
T405,46.2584847562004
T406,69.258104136095
T407,45.5727584014015
YG017,32.7067724975473
YG018,47.1253327984156
YG019,36.5080401375976
YG021,61.5589403005485
YG022,37.0854776827152
YG043,37.3460408220969
YG044,45.8843729654067
YG045,33.9087654087878
YG054,22.6291336609728
YG055,33.6616499441891
YG056,35.5287149975297
YG070,54.6947614425131
YG071,51.1362535852361
YG072,53.1913930858359
YG075,56.9668951850396
YG076,44.4385082219633
YG080,45.9602652080269
YG081,57.6047556218481
YG086,30.2964403220693
YG118,38.5108873470784
YG120,48.0744632610391
YG121,39.3238865313548
YG123,41.434671776607
YG124,60.6759272055593
YG125,69.7920685041605
YG127,53.3144494789663
YG129,41.8340151270297
YG135,36.0041087114936
YG136,38.0928423173499
YG137,34.1791264388228
YG168,43.5350154306048
YG169,32.8714987537795
YG170,40.3656797285614
YG186,38.3089033014148
YG187,39.1439768533403
YG188,39.1241100458539
YG202,39.9552012629328
YG203,55.1821208840078
