Protein,BINCODE,NAME,mean
[ rt-cal protein ],,,1.75003358142097e-10
eucgr.a00010.2.p,_35.2_,'not assigned.unknown',1.52509305484082e-12
eucgr.a00018.1.p,_27.3.99_,'RNA.regulation of transcription.unclassified',6.64885430071111e-12
eucgr.a00095.1.p,_2.2.1.1_,'major CHO metabolism.degradation.sucrose.fructokinase',1.62204654387361e-11
eucgr.a00131.1.p,_35.2_,'not assigned.unknown',4.43657513051233e-12
eucgr.a00143.1.p,_35.2_,'not assigned.unknown',3.83784941691152e-12
eucgr.a00162.1.p,_35.2_,'not assigned.unknown',1.83960728122386e-11
eucgr.a00168.1.p,_35.2_,'not assigned.unknown',2.40620506457218e-11
eucgr.a00172.1.p,_35.2_,'not assigned.unknown',3.735161425519e-11
eucgr.a00188.1.p,_35.2_,'not assigned.unknown',7.42774407178053e-11
eucgr.a00248.1.p,_13.1.4.4.1_,'amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase',1.80547710379522e-12
eucgr.a00249.1.p,_13.1.4.4.1_,'amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase',5.47440963668439e-12
eucgr.a00250.1.p,_29.4.1.58_,'protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VIII',2.62103849003776e-12
eucgr.a00283.1.p,_29.5_,'protein.degradation',2.12757256428668e-12
eucgr.a00285.1.p,_30.3_,'signalling.calcium',1.46063792296455e-12
eucgr.a00348.1.p,"_8.1.1.3_, _11.1.31_","'TCA / org transformation.TCA.pyruvate DH.E3', 'lipid metabolism.FA synthesis and FA elongation.pyruvate DH'",1.93953212641835e-12
eucgr.a00353.1.p,_35.1_,'not assigned.no ontology',1.31497905804764e-12
eucgr.a00373.1.p,_20.2.2_,'stress.abiotic.cold',7.65858876924326e-12
eucgr.a00378.1.p,_29.2.1.2.2.82_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P2',8.54840659765304e-12
eucgr.a00380.1.p,_30.11_,'signalling.light',9.16209987493619e-13
eucgr.a00387.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",1.58630913138877e-12
eucgr.a00390.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",3.45787077161705e-12
eucgr.a00394.3.p,_25.6_,'C1-metabolism.methylenetetrahydrofolate reductase',6.93761747264824e-12
eucgr.a00406.1.p,_30.5_,'signalling.G-proteins',1.09597445425625e-11
eucgr.a00407.1.p,_30.5_,'signalling.G-proteins',1.10019520377273e-12
eucgr.a00426.1.p,_35.2_,'not assigned.unknown',2.70818129054993e-12
eucgr.a00428.2.p,_35.2_,'not assigned.unknown',1.95749057543961e-12
eucgr.a00430.1.p,_13.1.3.4.13_,'amino acid metabolism.synthesis.aspartate family.methionine.methionine S-methyltransferase',6.66027203919118e-13
eucgr.a00474.2.p,_29.2.1.1.1.1.9_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S9',7.07535657389567e-12
eucgr.a00529.2.p,_11.9.4.2_,'lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH',2.81745252566746e-12
eucgr.a00535.3.p,_19.15_,'tetrapyrrole synthesis.chlorophyll synthase',4.40179083750791e-12
eucgr.a00546.1.p,_5.2_,'fermentation.PDC',5.11368592453784e-12
eucgr.a00549.2.p,_5.2_,'fermentation.PDC',3.96233478043178e-12
eucgr.a00608.1.p,_29.2.1.2.1.4_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S4',3.53024847207629e-11
eucgr.a00687.1.p,_35.1_,'not assigned.no ontology',2.78962693859097e-12
eucgr.a00692.2.p,_34.16_,'transport.ABC transporters and multidrug resistance systems',2.53092972304523e-13
eucgr.a00739.2.p,_29.2.4_,'protein.synthesis.elongation',1.70933890778022e-11
eucgr.a00746.1.p,_11.6_,'lipid metabolism.lipid transfer proteins etc',4.58934866800217e-11
eucgr.a00781.1.p,_29.2.1.2.1.12_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S12',8.25972474127435e-12
eucgr.a00830.1.p,_35.1.5_,'not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein',5.40842339535721e-12
eucgr.a00868.1.p,_4.1.12_,'glycolysis.cytosolic branch.phosphoglycerate mutase',2.74410591580391e-11
eucgr.a00869.1.p,_4.1.12_,'glycolysis.cytosolic branch.phosphoglycerate mutase',1.63217760469107e-12
eucgr.a00878.1.p,_29.2.1.1.1.2.17_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L17',2.71242833275328e-12
eucgr.a00926.1.p,"_17.1.1_, _26.2_","'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'",7.5503633525844e-13
eucgr.a00934.1.p,"_17.1.1_, _26.2_","'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'",3.01942889228608e-12
eucgr.a00945.1.p,"_17.1.1_, _26.2_","'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'",8.68406036182726e-13
eucgr.a00959.2.p,_29.5.1_,'protein.degradation.subtilases',3.36956486351289e-12
eucgr.a00971.2.p,_29.2.1.2.2.9_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L9',5.17787893063189e-12
eucgr.a00976.1.p,_29.3.2_,'protein.targeting.mitochondria',2.51821240863834e-12
eucgr.a00982.1.p,_29.5.3_,'protein.degradation.cysteine protease',1.86464649287721e-12
eucgr.a00992.1.p,_31.3.1_,'cell.cycle.peptidylprolyl isomerase',1.10746738149451e-10
eucgr.a01004.3.p,_29.3.3_,'protein.targeting.chloroplast',3.61725449697227e-12
eucgr.a01018.1.p,_29.4.1.58_,'protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VIII',4.93382651417908e-12
eucgr.a01021.4.p,"_13.1.3.4_, _13.1.3.4.11_, _15.2_","'amino acid metabolism.synthesis.aspartate family.methionine', 'amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase', 'metal handling.binding, chelation and storage'",1.26913183714816e-11
eucgr.a01044.2.p,_20.2.1_,'stress.abiotic.heat',1.85025336309996e-12
eucgr.a01047.1.p,_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',3.24084136060507e-10
eucgr.a01062.1.p,_29.1.3_,'protein.aa activation.threonine-tRNA ligase',2.12198814352274e-12
eucgr.a01064.1.p,_29.1.3_,'protein.aa activation.threonine-tRNA ligase',1.93674461525957e-12
eucgr.a01066.1.p,_29.1.3_,'protein.aa activation.threonine-tRNA ligase',1.74054642610016e-12
eucgr.a01085.1.p,_26.28_,'misc.GDSL-motif lipase',2.18371235008788e-12
eucgr.a01086.1.p,_26.28_,'misc.GDSL-motif lipase',4.67062996253407e-12
eucgr.a01098.3.p,_29.5_,'protein.degradation',9.4677968997395e-13
eucgr.a01109.2.p,_29.5.4_,'protein.degradation.aspartate protease',6.36683048764984e-12
eucgr.a01112.1.p,_20.1_,'stress.biotic',8.51512061651469e-12
eucgr.a01121.1.p,_29.5.7_,'protein.degradation.metalloprotease',2.92076260398238e-12
eucgr.a01127.2.p,_8.1.3_,'TCA / org transformation.TCA.aconitase',2.69205809253701e-12
eucgr.a01129.1.p,_8.1.3_,'TCA / org transformation.TCA.aconitase',3.07374307321924e-11
eucgr.a01135.1.p,_8.2.4_,'TCA / org transformation.other organic acid transformatons.IDH',1.77668672203375e-11
eucgr.a01141.1.p,_35.1_,'not assigned.no ontology',3.17561836569856e-12
eucgr.a01152.1.p,_29.2.1.2.2.12_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L12',4.30439155624131e-11
eucgr.a01153.2.p,_34.19.1_,'transport.Major Intrinsic Proteins.PIP',8.68767261219953e-12
eucgr.a01180.1.p,_21.2.1_,'redox.ascorbate and glutathione.ascorbate',1.96515221747885e-11
eucgr.a01198.1.p,_26.9_,'misc.glutathione S transferases',3.32204775778222e-12
eucgr.a01200.1.p,_26.9_,'misc.glutathione S transferases',3.73797761222842e-12
eucgr.a01202.1.p,_26.9_,'misc.glutathione S transferases',3.33021888591857e-12
eucgr.a01204.1.p,_35.2_,'not assigned.unknown',1.77944524575826e-12
eucgr.a01225.1.p,_35.1_,'not assigned.no ontology',1.58308834713265e-12
eucgr.a01238.1.p,_23.4.99_,'nucleotide metabolism.phosphotransfer and pyrophosphatases.misc',1.81712209560119e-11
eucgr.a01273.1.p,_29.5_,'protein.degradation',3.0703306198015e-11
