BINCODE,NAME,IDENTIFIER,DESCRIPTION,TYPE
_0_,control genes,,'',
_1_,PS,eucgr.f02481.1.p,"'(at5g38660 : 295.0) mutant has Altered acclimation responses;; ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT (APE1); CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2854 (InterPro:IPR021275), Proteasome maturation factor UMP1 (InterPro:IPR008012); BEST Arabidopsis thaliana protein match is: Proteasome maturation factor UMP1 (TAIR:AT5G38650.1). & (ipr021275 : 127.02784) Protein of unknown function DUF2854 & (reliability: 590.0) &  (original description: pacid=32053817 transcript=Eucgr.F02481.1 locus=Eucgr.F02481 ID=Eucgr.F02481.1.v2.0 annot-version=v2.0)'",T
_1.1_,PS.lightreaction,,'',
_1.1.1_,PS.lightreaction.photosystem II,,'',
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.k02983.1.p,"'(at5g01530 : 453.0) light harvesting complex photosystem II (LHCB4.1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: response to blue light, response to red light, response to far red light, photosynthesis; LOCATED IN: in 6 components; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: light harvesting complex photosystem II (TAIR:AT3G08940.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). & (q93wd2|cb29_chlre : 246.0) Chlorophyll a-b binding protein CP29 - Chlamydomonas reinhardtii & (gnl|cdd|84819 : 167.0) no description available & (ipr022796 : 113.38879) Chlorophyll A-B binding protein & (reliability: 906.0) &  (original description: pacid=32068916 transcript=Eucgr.K02983.1 locus=Eucgr.K02983 ID=Eucgr.K02983.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.i02677.1.p,"'(at1g15820 : 364.0) Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II.; light harvesting complex photosystem II subunit 6 (LHCB6); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, nonphotochemical quenching; LOCATED IN: in 7 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem I light harvesting complex gene 6 (TAIR:AT1G19150.1); Has 2316 Blast hits to 2191 proteins in 220 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 1959; Viruses - 0; Other Eukaryotes - 355 (source: NCBI BLink). & (p36494|cb4_spiol : 345.0) Chlorophyll a-b binding protein CP24, chloroplast precursor - Spinacia oleracea (Spinach) & (gnl|cdd|84819 : 150.0) no description available & (ipr022796 : 105.33113) Chlorophyll A-B binding protein & (reliability: 728.0) &  (original description: pacid=32062901 transcript=Eucgr.I02677.1 locus=Eucgr.I02677 ID=Eucgr.I02677.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.g03060.1.p,"'(at2g40100 : 414.0) Lhcb4:3 protein (Lhcb4.3, light harvesting complex of photosystem II; light harvesting complex photosystem II (LHCB4.3); CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: light harvesting complex photosystem II (TAIR:AT3G08940.2). & (q93wd2|cb29_chlre : 249.0) Chlorophyll a-b binding protein CP29 - Chlamydomonas reinhardtii & (gnl|cdd|84819 : 152.0) no description available & (ipr022796 : 107.63371) Chlorophyll A-B binding protein & (reliability: 828.0) &  (original description: pacid=32073009 transcript=Eucgr.G03060.1 locus=Eucgr.G03060 ID=Eucgr.G03060.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.g00777.1.p,"'(at1g15820 : 363.0) Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II.; light harvesting complex photosystem II subunit 6 (LHCB6); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, nonphotochemical quenching; LOCATED IN: in 7 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem I light harvesting complex gene 6 (TAIR:AT1G19150.1); Has 2316 Blast hits to 2191 proteins in 220 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 1959; Viruses - 0; Other Eukaryotes - 355 (source: NCBI BLink). & (p36494|cb4_spiol : 350.0) Chlorophyll a-b binding protein CP24, chloroplast precursor - Spinacia oleracea (Spinach) & (gnl|cdd|84819 : 150.0) no description available & (ipr022796 : 103.87769) Chlorophyll A-B binding protein & (reliability: 726.0) &  (original description: pacid=32071698 transcript=Eucgr.G00777.1 locus=Eucgr.G00777 ID=Eucgr.G00777.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.f04099.1.p,"'(at4g10340 : 416.0) photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus; light harvesting complex of photosystem II 5 (LHCB5); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: response to blue light, response to red light, response to far red light, photosynthesis, nonphotochemical quenching; LOCATED IN: in 9 components; EXPRESSED IN: 29 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 1 (TAIR:AT1G29930.1); Has 2360 Blast hits to 2295 proteins in 226 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2013; Viruses - 0; Other Eukaryotes - 343 (source: NCBI BLink). & (p15194|cb2b_pinsy : 208.0) Chlorophyll a-b binding protein type 2 member 1B, chloroplast precursor (Chlorophyll a-b binding protein type II 1B) (CAB) (LHCP) - Pinus sylvestris (Scots pine) & (gnl|cdd|84819 : 162.0) no description available & (ipr022796 : 104.48383) Chlorophyll A-B binding protein & (reliability: 832.0) &  (original description: pacid=32057557 transcript=Eucgr.F04099.1 locus=Eucgr.F04099 ID=Eucgr.F04099.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.f01077.1.p,"'(at5g54270 : 405.0) Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II).; light-harvesting chlorophyll B-binding protein 3 (LHCB3); FUNCTIONS IN: structural molecule activity; INVOLVED IN: photosynthesis; LOCATED IN: light-harvesting complex, thylakoid, chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem II light harvesting complex gene 2.1 (TAIR:AT2G05100.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). & (p27523|cb23_horvu : 390.0) Chlorophyll a-b binding protein of LHCII type III, chloroplast precursor (CAB) - Hordeum vulgare (Barley) & (gnl|cdd|84819 : 157.0) no description available & (ipr022796 : 101.05138) Chlorophyll A-B binding protein & (reliability: 810.0) &  (original description: pacid=32054226 transcript=Eucgr.F01077.1 locus=Eucgr.F01077 ID=Eucgr.F01077.1.v2.0 annot-version=v2.0)'",T
