Protein,MW
Eucgr.L02860.1.p,17281.89244
Eucgr.L02059.1.p,53112.72834
Eucgr.L02937.1.p,23302.84394
Eucgr.L01943.1.p,9006.51024
Eucgr.L00994.1.p,51704.14264
Eucgr.L01547.1.p,53074.15774
Eucgr.L02794.1.p,51959.55404
Eucgr.L01476.1.p,30985.07174
Eucgr.L02980.1.p,25151.65434
Eucgr.L01103.1.p,37943.23834
Eucgr.L02517.1.p,44275.85764
Eucgr.L02920.1.p,30795.26394
Eucgr.L00627.1.p,20922.98064
Eucgr.E03370.2.p,31079.30304
Eucgr.E02785.2.p,64730.23374
Eucgr.E00263.1.p,36972.11524
Eucgr.E03793.1.p,37711.82814
Eucgr.E00828.1.p,26383.37074
Eucgr.E03909.1.p,47143.83884
Eucgr.E04250.1.p,14772.08634
Eucgr.E04238.1.p,48841.01674
Eucgr.E03807.1.p,72271.51844
Eucgr.E04000.1.p,26464.05204
Eucgr.E01779.1.p,16176.13194
Eucgr.E01322.1.p,40746.80954
Eucgr.E01416.1.p,32876.38514
Eucgr.E00001.1.p,33818.79934
Eucgr.E01068.4.p,66784.95004
Eucgr.E02712.1.p,21586.80364
Eucgr.E00889.1.p,30537.75584
Eucgr.E01244.1.p,51389.58334
Eucgr.E01110.2.p,38602.39554
Eucgr.E04293.1.p,35649.91774
Eucgr.E03981.1.p,36254.15654
Eucgr.D01612.1.p,50484.88714
Eucgr.E00871.3.p,20611.80674
Eucgr.E01392.1.p,25379.33614
Eucgr.E01634.1.p,31571.54034
Eucgr.E00370.1.p,22591.64584
Eucgr.E02392.1.p,42562.10604
Eucgr.E00451.2.p,19011.19974
Eucgr.E00814.1.p,21067.26324
Eucgr.E00560.1.p,25393.75854
Eucgr.E04296.1.p,42911.62044
Eucgr.E00105.1.p,51758.15384
Eucgr.E00343.1.p,33813.55014
Eucgr.E03676.1.p,9642.18434
Eucgr.E04226.1.p,87280.94674
Eucgr.E00121.1.p,55828.47634
Eucgr.E00656.1.p,54347.88874
Eucgr.E00064.1.p,86025.74124
Eucgr.E00013.3.p,27899.98604
Eucgr.E01438.4.p,36347.45994
Eucgr.E00845.1.p,38355.36764
Eucgr.E04113.1.p,37924.28464
