Protein,MW
sp|ALBU_BOVIN,69248.43962
sp|K1C10_HUMAN,59482.87603
sp|K1C9_HUMAN,62091.90897
sp|K22E_HUMAN,65825.39172
sp|K2C1_HUMAN,65846.9451
sp|MYG_HORSE,17072.00511
sp|OVAL_CHICK,42853.50252
sp|TRYP_PIG,24393.80496
