BINCODE,NAME,IDENTIFIER
_1.1.2_,'PS.lightreaction.photosystem I',
_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',eucgr.j01096.1.p
_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',eucgr.c03307.1.p
_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',eucgr.f00228.1.p
_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',eucgr.b03494.1.p
_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',eucgr.b00523.1.p
_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',eucgr.k01362.1.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.e00015.1.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.j02958.2.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.h00828.1.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.d00234.3.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.f03646.1.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.f03038.1.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.b01088.1.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.b02162.1.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.i00200.2.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.k00389.1.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',eucgr.k02362.3.p
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',tr|t1ql77|t1ql77_eucgl
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',tr|t1qlb6|t1qlb6_eucgl
_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',tr|t1qkm2|t1qkm2_eucgl
_1.1.2.3_,'PS.lightreaction.photosystem I.biogenesis',
